"","ID","COU","SITE","SITE_ID","PLOT","GRAZ","ARIDITY.v3","Genus","Species","coverDryfun20","coverBiodesert100","MeanLL","MeanSLA","MeanLDMC","MeanLA","MaxH","MaxLS","percentN","percentC","Life_form","taxon"
"1",1,"Algeria","El Ouassria",1,1,3,0.8301,"Launaea","resedifolia",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Herb","Launaea resedifolia"
"2",1,"Algeria","El Ouassria",1,1,3,0.8301,"Noaea","mucronata",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Noaea mucronata"
"3",1,"Algeria","El Ouassria",1,1,3,0.8301,"Salvia","verbenaca",1,NA,9,118.6333333,0.148760331,5.3385,2,66,NA,NA,"Herb","Salvia verbenaca"
"4",1,"Algeria","El Ouassria",1,1,3,0.8301,"Echium","trygorrhizum",4,10,2.5,152.1973397,0.185393253,0.534312229,6,16,3.081380815,41.01272965,"Wood","Echium trygorrhizum"
"5",1,"Algeria","El Ouassria",1,1,3,0.8301,"Ajuga","iva",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Ajuga iva"
"6",1,"Algeria","El Ouassria",1,1,3,0.8301,"Muscari","comosum",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Herb","Muscari comosum"
"7",1,"Algeria","El Ouassria",1,1,3,0.8301,"Stipa","tenacissima",70,132,21,64.62467871,0.514277598,1.307304762,66,8500,1.126442696,38.4005194,"Grass","Stipa tenacissima"
"8",1,"Algeria","El Ouassria",1,1,3,0.8301,"Atractylis","serratuloides",15,68,2.580666667,74.49095107,0.260839165,0.637067205,11,70,1.981317316,46.32963671,"Herb","Atractylis serratuloides"
"9",1,"Algeria","El Ouassria",1,1,3,0.8301,"Iris","sisyrynchium",6,24,6.891666667,119.4692883,0.287961275,1.250261111,8,52,1.200517464,21.41776386,"Herb","Iris sisyrynchium"
"10",1,"Algeria","El Ouassria",1,1,3,0.8301,"Scorzonera","undulata",1,8,9,104.8636364,0.173228346,2.307,1,130,NA,NA,"Herb","Scorzonera undulata"
"11",1,"Algeria","El Ouassria",1,1,3,0.8301,"Allium","cupani",6,42,12.66666667,106.718513,0.246290493,0.573061111,16,80,4.36904713,40.56587601,"Herb","Allium cupani"
"12",1,"Algeria","El Ouassria",1,1,3,0.8301,"Argyrolobium","uniflorum",2,6,1.805,81.27857143,0.275135135,0.339104167,6,255,3.42185207,38.89831704,"Wood","Argyrolobium uniflorum"
"13",1,"Algeria","El Ouassria",1,1,3,0.8301,"Plantago","albicans",11,50,3.955555556,130.2972232,0.251220825,1.364767725,4,42,2.136204797,27.56796725,"Herb","Plantago albicans"
"14",1,"Algeria","El Ouassria",1,1,3,0.8301,"Ziziphus","lotus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Ziziphus lotus"
"15",1,"Algeria","El Ouassria",1,1,3,0.8301,"Stipa","parviflora",3,15,7.333333333,109.9861111,0.488451806,0.643033333,7,440,2.673009653,45.31180619,"Grass","Stipa parviflora"
"16",1,"Algeria","El Ouassria",1,1,3,0.8301,"Cynodon","dactylon",1,2,2,189.5263158,0.404255319,0.189526316,1,80,NA,NA,"Grass","Cynodon dactylon"
"17",1,"Algeria","El Ouassria",1,1,3,0.8301,"Paronychia","argentea",1,3,0.41,149.3333333,0.6,0.01792,2,4,NA,NA,"Herb","Paronychia argentea"
"18",1,"Algeria","El Ouassria",1,1,3,0.8301,"Stipa","barbata",6,53,6.616666667,106.9887157,0.442791785,0.37295377,6,270,3.550893726,41.26633242,"Grass","Stipa barbata"
"19",2,"Algeria","El Ouassria",1,2,2,0.8317,"Dactylis","glomerata",2,NA,17,54.49765258,0.36535163,1.934666667,20,850,NA,NA,"Grass","Dactylis glomerata"
"20",2,"Algeria","El Ouassria",1,2,2,0.8317,"Iris","sisyrynchium",7,31,13.28571429,94.1609988,0.304103476,0.812502778,13,221,1.830195628,43.88075756,"Herb","Iris sisyrynchium"
"21",2,"Algeria","El Ouassria",1,2,2,0.8317,"Ajuga","iva",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Ajuga iva"
"22",2,"Algeria","El Ouassria",1,2,2,0.8317,"Paronychia","argentea",2,7,0.745,99.33662281,0.411413043,0.057099521,2,24,1.423561005,38.49797805,"Herb","Paronychia argentea"
"23",2,"Algeria","El Ouassria",1,2,2,0.8317,"Stipa","barbata",1,5,9,122.3243243,0.474358974,0.754333333,25,14,NA,NA,"Grass","Stipa barbata"
"24",2,"Algeria","El Ouassria",1,2,2,0.8317,"Matthiola","longipetala",2,12,5.08,88.17948718,0.228706967,2.6485,6,143,2.518449817,36.57067881,"Wood","Matthiola longipetala"
"25",2,"Algeria","El Ouassria",1,2,2,0.8317,"Allium","cupani",17,73,11.8,104.7680279,0.224176133,0.352943214,11,400,4.867324848,40.39140646,"Herb","Allium cupani"
"26",2,"Algeria","El Ouassria",1,2,2,0.8317,"Echinops","spinosus",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Herb","Echinops spinosus"
"27",2,"Algeria","El Ouassria",1,2,2,0.8317,"Artemisia","campestris",2,10,2.63,107.6111111,0.288,0.430444444,21,540,NA,NA,"Wood","Artemisia campestris"
"28",2,"Algeria","El Ouassria",1,2,2,0.8317,"Atractylis","serratuloides",27,89,2.773333333,57.11469756,0.32702872,0.719693095,10,440,1.19475859,46.56474134,"Herb","Atractylis serratuloides"
"29",2,"Algeria","El Ouassria",1,2,2,0.8317,"Telephium","imperati",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Herb","Telephium imperati"
"30",2,"Algeria","El Ouassria",1,2,2,0.8317,"Ziziphus","lotus",1,1,1,132.7894737,0.38,0.360428571,3,45,NA,NA,"Wood","Ziziphus lotus"
