"","ID","COU","SITE_comm","SITE_ID","PLOT_comm","taxon","coverBiodesert100","GRAZ","ARIDITY.v3_comm","site_ID_comm","sum_abun","SITE_trait","PLOT_trait","ARIDITY.v3_trait","coverBiodesert100_FT","Life_form","trait","value","site_ID_trait","n_sample","weight","level","max_n_in_sample"
"1","1","Algeria","El Ouassria",1,1,"Ajuga iva",0.03,"3",0.8301,"1",4.22,"El Ouassria",3,0.8317,0.23,"Wood","MeanLL",2.3225,"1",1,0.03,"SITE_ID",1
"2","1","Algeria","El Ouassria",1,1,"Ajuga iva",0.03,"3",0.8301,"1",4.22,"El Ouassria",3,0.8317,0.23,"Wood","MeanSLA",124.5392439,"1",1,0.03,"SITE_ID",1
"3","1","Algeria","El Ouassria",1,1,"Ajuga iva",0.03,"3",0.8301,"1",4.22,"El Ouassria",3,0.8317,0.23,"Wood","MeanLDMC",0.234381549,"1",1,0.03,"SITE_ID",1
"4","1","Algeria","El Ouassria",1,1,"Ajuga iva",0.03,"3",0.8301,"1",4.22,"El Ouassria",3,0.8317,0.23,"Wood","MeanLA",0.664321875,"1",1,0.03,"SITE_ID",1
"5","1","Algeria","El Ouassria",1,1,"Ajuga iva",0.03,"3",0.8301,"1",4.22,"El Ouassria",3,0.8317,0.23,"Wood","MaxH",6,"1",1,0.03,"SITE_ID",1
"6","1","Algeria","El Ouassria",1,1,"Ajuga iva",0.03,"3",0.8301,"1",4.22,"El Ouassria",3,0.8317,0.23,"Wood","MaxLS",24,"1",1,0.03,"SITE_ID",1
"7","1","Algeria","El Ouassria",1,1,"Ajuga iva",0.03,"3",0.8301,"1",4.22,"El Ouassria",3,0.8317,0.23,"Wood","percentN",2.853478545,"1",1,0.03,"SITE_ID",1
"8","1","Algeria","El Ouassria",1,1,"Ajuga iva",0.03,"3",0.8301,"1",4.22,"El Ouassria",3,0.8317,0.23,"Wood","percentC",35.58394721,"1",1,0.03,"SITE_ID",1
"9","1","Algeria","El Ouassria",1,1,"Scorzonera undulata",0.08,"3",0.8301,"1",4.22,"El Ouassria",3,0.8317,0.09,"Herb","percentN",2.063580894,"1",1,0.08,"SITE_ID",1
"10","1","Algeria","El Ouassria",1,1,"Scorzonera undulata",0.08,"3",0.8301,"1",4.22,"El Ouassria",3,0.8317,0.09,"Herb","percentC",41.91132408,"1",1,0.08,"SITE_ID",1
"11","1","Algeria","El Ouassria",1,1,"Paronychia argentea",0.03,"3",0.8301,"1",4.22,"El Ouassria",2,0.8317,0.07,"Herb","percentN",1.423561005,"1",2,0.015,"SITE_ID",2
"12","1","Algeria","El Ouassria",1,1,"Paronychia argentea",0.03,"3",0.8301,"1",4.22,"El Ouassria",2,0.8317,0.07,"Herb","percentC",38.49797805,"1",2,0.015,"SITE_ID",2
"13","1","Algeria","El Ouassria",1,1,"Paronychia argentea",0.03,"3",0.8301,"1",4.22,"El Ouassria",3,0.8317,0.22,"Herb","percentN",0.961152705,"1",2,0.015,"SITE_ID",2
"14","1","Algeria","El Ouassria",1,1,"Paronychia argentea",0.03,"3",0.8301,"1",4.22,"El Ouassria",3,0.8317,0.22,"Herb","percentC",35.59904655,"1",2,0.015,"SITE_ID",2
"15","1","Algeria","El Ouassria",1,1,"Echium trygorrhizum",0.1,"3",0.8301,"1",4.22,"El Ouassria",1,0.8301,0.1,"Wood","MeanLL",2.5,"1",1,0.1,"ID",2
"16","1","Algeria","El Ouassria",1,1,"Echium trygorrhizum",0.1,"3",0.8301,"1",4.22,"El Ouassria",1,0.8301,0.1,"Wood","MeanSLA",152.1973397,"1",1,0.1,"ID",2
"17","1","Algeria","El Ouassria",1,1,"Echium trygorrhizum",0.1,"3",0.8301,"1",4.22,"El Ouassria",1,0.8301,0.1,"Wood","MeanLDMC",0.185393253,"1",1,0.1,"ID",2
"18","1","Algeria","El Ouassria",1,1,"Echium trygorrhizum",0.1,"3",0.8301,"1",4.22,"El Ouassria",1,0.8301,0.1,"Wood","MeanLA",0.534312229,"1",1,0.1,"ID",2
