"","ID","COU","SITE","SITE_ID","PLOT","GRAZ","ARIDITY.v3","Genus","Species","coverDryfun20","coverBiodesert100","MeanLL","MeanSLA","MeanLDMC","MeanLA","MaxH","MaxLS","percentN","percentC","Life_form","taxon"
"1",1,"Algeria","El Ouassria",1,1,3,0.8301,"Noaea","mucronata",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Noaea mucronata"
"2",1,"Algeria","El Ouassria",1,1,3,0.8301,"Salvia","verbenaca",1,NA,9,118.6333333,0.148760331,5.3385,2,66,NA,NA,"Herb","Salvia verbenaca"
"3",1,"Algeria","El Ouassria",1,1,3,0.8301,"Echium","trygorrhizum",4,10,2.5,152.1973397,0.185393253,0.534312229,6,16,3.081380815,41.01272965,"Wood","Echium trygorrhizum"
"4",1,"Algeria","El Ouassria",1,1,3,0.8301,"Ajuga","iva",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Ajuga iva"
"5",1,"Algeria","El Ouassria",1,1,3,0.8301,"Stipa","tenacissima",70,132,21,64.62467871,0.514277598,1.307304762,66,8500,1.126442696,38.4005194,"Grass","Stipa tenacissima"
"6",1,"Algeria","El Ouassria",1,1,3,0.8301,"Atractylis","serratuloides",15,68,2.580666667,74.49095107,0.260839165,0.637067205,11,70,1.981317316,46.32963671,"Herb","Atractylis serratuloides"
"7",1,"Algeria","El Ouassria",1,1,3,0.8301,"Iris","sisyrynchium",6,24,6.891666667,119.4692883,0.287961275,1.250261111,8,52,1.200517464,21.41776386,"Herb","Iris sisyrynchium"
"8",1,"Algeria","El Ouassria",1,1,3,0.8301,"Scorzonera","undulata",1,8,9,104.8636364,0.173228346,2.307,1,130,NA,NA,"Herb","Scorzonera undulata"
"9",1,"Algeria","El Ouassria",1,1,3,0.8301,"Allium","cupani",6,42,12.66666667,106.718513,0.246290493,0.573061111,16,80,4.36904713,40.56587601,"Herb","Allium cupani"
"10",1,"Algeria","El Ouassria",1,1,3,0.8301,"Plantago","albicans",11,50,3.955555556,130.2972232,0.251220825,1.364767725,4,42,2.136204797,27.56796725,"Herb","Plantago albicans"
"11",1,"Algeria","El Ouassria",1,1,3,0.8301,"Stipa","parviflora",3,15,7.333333333,109.9861111,0.488451806,0.643033333,7,440,2.673009653,45.31180619,"Grass","Stipa parviflora"
"12",1,"Algeria","El Ouassria",1,1,3,0.8301,"Cynodon","dactylon",1,2,2,189.5263158,0.404255319,0.189526316,1,80,NA,NA,"Grass","Cynodon dactylon"
"13",1,"Algeria","El Ouassria",1,1,3,0.8301,"Paronychia","argentea",1,3,0.41,149.3333333,0.6,0.01792,2,4,NA,NA,"Herb","Paronychia argentea"
"14",1,"Algeria","El Ouassria",1,1,3,0.8301,"Stipa","barbata",6,53,6.616666667,106.9887157,0.442791785,0.37295377,6,270,3.550893726,41.26633242,"Grass","Stipa barbata"
"15",2,"Algeria","El Ouassria",1,2,2,0.8317,"Dactylis","glomerata",2,NA,17,54.49765258,0.36535163,1.934666667,20,850,NA,NA,"Grass","Dactylis glomerata"
"16",2,"Algeria","El Ouassria",1,2,2,0.8317,"Iris","sisyrynchium",7,31,13.28571429,94.1609988,0.304103476,0.812502778,13,221,1.830195628,43.88075756,"Herb","Iris sisyrynchium"
"17",2,"Algeria","El Ouassria",1,2,2,0.8317,"Ajuga","iva",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Ajuga iva"
"18",2,"Algeria","El Ouassria",1,2,2,0.8317,"Paronychia","argentea",2,7,0.745,99.33662281,0.411413043,0.057099521,2,24,1.423561005,38.49797805,"Herb","Paronychia argentea"
"19",2,"Algeria","El Ouassria",1,2,2,0.8317,"Stipa","barbata",1,5,9,122.3243243,0.474358974,0.754333333,25,14,NA,NA,"Grass","Stipa barbata"
"20",2,"Algeria","El Ouassria",1,2,2,0.8317,"Matthiola","longipetala",2,12,5.08,88.17948718,0.228706967,2.6485,6,143,2.518449817,36.57067881,"Wood","Matthiola longipetala"
"21",2,"Algeria","El Ouassria",1,2,2,0.8317,"Allium","cupani",17,73,11.8,104.7680279,0.224176133,0.352943214,11,400,4.867324848,40.39140646,"Herb","Allium cupani"
"22",2,"Algeria","El Ouassria",1,2,2,0.8317,"Artemisia","campestris",2,10,2.63,107.6111111,0.288,0.430444444,21,540,NA,NA,"Wood","Artemisia campestris"
"23",2,"Algeria","El Ouassria",1,2,2,0.8317,"Atractylis","serratuloides",27,89,2.773333333,57.11469756,0.32702872,0.719693095,10,440,1.19475859,46.56474134,"Herb","Atractylis serratuloides"
"24",2,"Algeria","El Ouassria",1,2,2,0.8317,"Telephium","imperati",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Herb","Telephium imperati"
"25",2,"Algeria","El Ouassria",1,2,2,0.8317,"Echium","trygorrhizum",1,4,2.84,158.95,0.117647059,1.059666667,2,35,NA,NA,"Wood","Echium trygorrhizum"
"26",2,"Algeria","El Ouassria",1,2,2,0.8317,"Stipa","tenacissima",410,1700,55.58333333,40.44409228,0.613103542,1.464959722,103,20300,1.137736428,41.32390925,"Grass","Stipa tenacissima"
"27",2,"Algeria","El Ouassria",1,2,2,0.8317,"Noaea","mucronata",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Noaea mucronata"
"28",2,"Algeria","El Ouassria",1,2,2,0.8317,"Scorzonera","undulata",1,9,13,140.7777778,0.138461538,1.0136,3,66,NA,NA,"Herb","Scorzonera undulata"
"29",2,"Algeria","El Ouassria",1,2,2,0.8317,"Stipa","parviflora",6,39,7.288,114.4127937,0.516466957,0.601649524,10,196,NA,NA,"Grass","Stipa parviflora"
"30",2,"Algeria","El Ouassria",1,2,2,0.8317,"Plantago","albicans",14,68,3.386666667,116.5999613,0.32559313,0.795645671,6,72,2.379333791,36.13201511,"Herb","Plantago albicans"
"31",3,"Algeria","El Ouassria",1,3,1,0.8317,"Stipa","tenacissima",308,1291,55,43.12481173,0.591705161,1.369743651,NA,NA,1.007906315,41.86931469,"Grass","Stipa tenacissima"
"32",3,"Algeria","El Ouassria",1,3,1,0.8317,"Stipa","parviflora",1,3,8,96.39130435,0.410714286,0.4434,12,160,NA,NA,"Grass","Stipa parviflora"
"33",3,"Algeria","El Ouassria",1,3,1,0.8317,"Iris","sisyrynchium",25,129,15.8,83.17512842,0.277158879,1.226317778,19,729,2.010677208,38.66132631,"Herb","Iris sisyrynchium"
"34",3,"Algeria","El Ouassria",1,3,1,0.8317,"Telephium","imperati",4,14,2.5,135.5060445,0.225681783,0.197028387,1,170,3.65578615,44.41149244,"Herb","Telephium imperati"
"35",3,"Algeria","El Ouassria",1,3,1,0.8317,"Paronychia","argentea",2,22,0.73,88.04227941,0.354545455,0.056430303,3,54,0.961152705,35.59904655,"Herb","Paronychia argentea"
"36",3,"Algeria","El Ouassria",1,3,1,0.8317,"Atractylis","serratuloides",37,145,2.69,59.53066145,0.293337373,0.700300085,12,700,1.702288458,40.62755317,"Herb","Atractylis serratuloides"
"37",3,"Algeria","El Ouassria",1,3,1,0.8317,"Echium","trygorrhizum",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Echium trygorrhizum"
"38",3,"Algeria","El Ouassria",1,3,1,0.8317,"Scorzonera","undulata",3,9,13,131.9617891,0.144347654,1.065522619,5,308,2.063580894,41.91132408,"Herb","Scorzonera undulata"
"39",3,"Algeria","El Ouassria",1,3,1,0.8317,"Noaea","mucronata",8,15,2.4475,70.79205032,0.285059621,0.11245858,16,616,4.49829425,38.13792168,"Wood","Noaea mucronata"
"40",3,"Algeria","El Ouassria",1,3,1,0.8317,"Matthiola","longipetala",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Matthiola longipetala"
"41",3,"Algeria","El Ouassria",1,3,1,0.8317,"Plantago","albicans",29,128,3.264,125.2216567,0.207174829,0.894984127,9,99,1.803275193,29.03298357,"Herb","Plantago albicans"
"42",3,"Algeria","El Ouassria",1,3,1,0.8317,"Ajuga","iva",8,23,2.3225,124.5392439,0.234381549,0.664321875,6,24,2.853478545,35.58394721,"Wood","Ajuga iva"
"43",3,"Algeria","El Ouassria",1,3,1,0.8317,"Dactylis","glomerata",1,1,17,NA,0.341463415,NA,18,750,NA,NA,"Grass","Dactylis glomerata"
"44",3,"Algeria","El Ouassria",1,3,1,0.8317,"Allium","cupani",13,72,12.91666667,94.42840881,0.2168758,0.381693508,15,504,4.881180956,40.29279324,"Herb","Allium cupani"
"45",3,"Algeria","El Ouassria",1,3,1,0.8317,"Stipa","barbata",NA,18,NA,NA,NA,NA,NA,NA,NA,NA,"Grass","Stipa barbata"
"46",3,"Algeria","El Ouassria",1,3,1,0.8317,"Salvia","verbenaca",1,6,4,97.3115942,0.241681261,3.35725,2,48,NA,NA,"Herb","Salvia verbenaca"
"47",16,"Argentina","Rio Colorado",6,1,3,0.8212,"Condalia","microphylla",291,1549,0.43125,51.1469179,0.437559714,0.03632037,165,40000,2.351248877,38.60898881,"Wood","Condalia microphylla"
"48",16,"Argentina","Rio Colorado",6,1,3,0.8212,"Lycium","chilense",18,350,0.825,132.4130622,0.207770795,0.042346663,158,5500,4.481654631,36.24170751,"Wood","Lycium chilense"
"49",16,"Argentina","Rio Colorado",6,1,3,0.8212,"Pappostipa","humilis",25,660,44.55555556,94.06361721,0.51389471,0.252234035,60,1650,1.094349119,40.25430856,"Grass","Pappostipa humilis"
"50",16,"Argentina","Rio Colorado",6,1,3,0.8212,"Larrea","cuneifolia",NA,21,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Larrea cuneifolia"
"51",16,"Argentina","Rio Colorado",6,1,3,0.8212,"Larrea","divaricata",NA,442,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Larrea divaricata"
"52",16,"Argentina","Rio Colorado",6,1,3,0.8212,"Ephedra","triandra",NA,53,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Ephedra triandra"
"53",16,"Argentina","Rio Colorado",6,1,3,0.8212,"Conyza","lorentzii",1,NA,9,99.37209302,0.26875,0.8546,40,320,NA,NA,"Herb","Conyza lorentzii"
"54",16,"Argentina","Rio Colorado",6,1,3,0.8212,"Nassella","tenuis",199.5,750,22.04714286,101.9731297,0.379462848,0.256755613,70,2100,1.74371934,39.5964957,"Grass","Nassella tenuis"
"55",16,"Argentina","Rio Colorado",6,1,3,0.8212,"Schinus","johnstonii",10,133,1.4,50.89073227,0.488270595,0.4279,120,8000,3.02287632,58.76015147,"Wood","Schinus johnstonii"
"56",16,"Argentina","Rio Colorado",6,1,3,0.8212,"Prosopidastrum","globosum",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Prosopidastrum globosum"
"57",16,"Argentina","Rio Colorado",6,1,3,0.8212,"Bredemeyera","microphylla",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Bredemeyera microphylla"
