"","ID","COU","SITE","SITE_ID","PLOT","GRAZ","ARIDITY.v3","coverDryfun20","coverBiodesert100","MeanLL","MeanSLA","MeanLDMC","MeanLA","MaxH","MaxLS","percentN","percentC","Life_form","taxon"
"1",1,"Algeria","El Ouassria",1,1,3,0.8301,4,10,2.5,152.1973397,0.185393253,0.534312229,6,16,3.081380815,41.01272965,"Wood","Echium trygorrhizum"
"2",1,"Algeria","El Ouassria",1,1,3,0.8301,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Ajuga iva"
"3",1,"Algeria","El Ouassria",1,1,3,0.8301,70,132,21,64.62467871,0.514277598,1.307304762,66,8500,1.126442696,38.4005194,"Grass","Stipa tenacissima"
"4",1,"Algeria","El Ouassria",1,1,3,0.8301,15,68,2.580666667,74.49095107,0.260839165,0.637067205,11,70,1.981317316,46.32963671,"Herb","Atractylis serratuloides"
"5",1,"Algeria","El Ouassria",1,1,3,0.8301,6,24,6.891666667,119.4692883,0.287961275,1.250261111,8,52,1.200517464,21.41776386,"Herb","Iris sisyrynchium"
"6",1,"Algeria","El Ouassria",1,1,3,0.8301,1,8,9,104.8636364,0.173228346,2.307,1,130,NA,NA,"Herb","Scorzonera undulata"
"7",1,"Algeria","El Ouassria",1,1,3,0.8301,6,42,12.66666667,106.718513,0.246290493,0.573061111,16,80,4.36904713,40.56587601,"Herb","Allium cupani"
"8",1,"Algeria","El Ouassria",1,1,3,0.8301,11,50,3.955555556,130.2972232,0.251220825,1.364767725,4,42,2.136204797,27.56796725,"Herb","Plantago albicans"
"9",1,"Algeria","El Ouassria",1,1,3,0.8301,3,15,7.333333333,109.9861111,0.488451806,0.643033333,7,440,2.673009653,45.31180619,"Grass","Stipa parviflora"
"10",1,"Algeria","El Ouassria",1,1,3,0.8301,1,3,0.41,149.3333333,0.6,0.01792,2,4,NA,NA,"Herb","Paronychia argentea"
"11",1,"Algeria","El Ouassria",1,1,3,0.8301,6,53,6.616666667,106.9887157,0.442791785,0.37295377,6,270,3.550893726,41.26633242,"Grass","Stipa barbata"
"12",2,"Algeria","El Ouassria",1,2,2,0.8317,7,31,13.28571429,94.1609988,0.304103476,0.812502778,13,221,1.830195628,43.88075756,"Herb","Iris sisyrynchium"
"13",2,"Algeria","El Ouassria",1,2,2,0.8317,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Ajuga iva"
"14",2,"Algeria","El Ouassria",1,2,2,0.8317,2,7,0.745,99.33662281,0.411413043,0.057099521,2,24,1.423561005,38.49797805,"Herb","Paronychia argentea"
