"";"ID";"spname";"position"
"1";"1";"Ajuga iva";"match"
"2";"1";"Scorzonera undulata";"match"
"3";"1";"Paronychia argentea";"match"
"4";"1";"Echium trygorrhizum";"match"
"5";"1";"Stipa tenacissima";"match"
"6";"1";"Atractylis serratuloides";"match"
"7";"1";"Iris sisyrynchium";"match"
"8";"1";"Allium cupani";"match"
"9";"1";"Plantago albicans";"match"
"10";"1";"Stipa parviflora";"match"
"11";"1";"Stipa barbata";"match"
"12";"1";"Muscari comosum";"FT_only"
"13";"1";"Cynodon dactylon";"FT_only"
"14";"1";"Noaea mucronata";"FT_only"
"15";"1";"Ziziphus lotus";"FT_only"
"16";"1";"Argyrolobium uniflorum";"FT_only"
"17";"2";"Ajuga iva";"match"
"18";"2";"Echium trygorrhizum";"match"
"19";"2";"Scorzonera undulata";"match"
"20";"2";"Stipa parviflora";"match"
"21";"2";"Iris sisyrynchium";"match"
"22";"2";"Paronychia argentea";"match"
"23";"2";"Matthiola longipetala";"match"
"24";"2";"Allium cupani";"match"
"25";"2";"Artemisia campestris";"match"
"26";"2";"Atractylis serratuloides";"match"
"27";"2";"Stipa tenacissima";"match"
"28";"2";"Plantago albicans";"match"
"29";"2";"Salvia verbenaca";"fac_only"
"30";"2";"Helanthemum aperta";"fac_only"
"31";"2";"Stipa barbata";"FT_only"
"32";"2";"Telephium imperati";"FT_only"
"33";"2";"Noaea mucronata";"FT_only"
"34";"2";"Argyrolobium uniflorum";"FT_only"
"35";"2";"Ziziphus lotus";"FT_only"
"36";"3";"Stipa tenacissima";"match"
"37";"3";"Stipa parviflora";"match"
"38";"3";"Stipa barbata";"match"
"39";"3";"Iris sisyrynchium";"match"
"40";"3";"Telephium imperati";"match"
"41";"3";"Paronychia argentea";"match"
"42";"3";"Atractylis serratuloides";"match"
"43";"3";"Scorzonera undulata";"match"
"44";"3";"Noaea mucronata";"match"
"45";"3";"Plantago albicans";"match"
"46";"3";"Ajuga iva";"match"
"47";"3";"Allium cupani";"match"
"48";"3";"Salvia verbenaca";"match"
"49";"3";"Echium trygorrhizum";"FT_only"
"50";"3";"Argyrolobium uniflorum";"FT_only"
"51";"3";"Matthiola longipetala";"FT_only"
"52";"3";"Dactylis glomerata";"FT_only"
"53";"16";"Larrea cuneifolia";"match"
"54";"16";"Poa ligularis";"match"
"55";"16";"Monttea aphylla";"match"
"56";"16";"Senna aphylla";"match"
"57";"16";"Poa lanuginosa";"match"
"58";"16";"Larrea divaricata";"match"
"59";"16";"Ephedra triandra";"match"
"60";"16";"Prosopidastrum globosum";"match"
"61";"16";"Bredemeyera microphylla";"match"
"62";"16";"Chuquiraga rosulata";"match"
"63";"16";"Geoffroea decorticans";"match"
"64";"16";"Condalia microphylla";"match"
"65";"16";"Lycium chilense";"match"
"66";"16";"Pappostipa humilis";"match"
"67";"16";"Nassella tenuis";"match"
"68";"16";"Schinus johnstonii";"match"
"69";"16";"Prosopis flexuosa";"match"
"70";"16";"Aloysia gratissima";"match"
"71";"16";"Amelichloa ambigua";"match"
"72";"16";"Glandularia parodii";"match"
"73";"16";"Sphaeralcea mendocina";"match"
"74";"16";"Nassella longiglumis";"match"
"75";"16";"Baccharis ulicina";"match"
"76";"16";"Pappostipa speciosa";"match"
"77";"16";"Conyza lorentzii";"fac_only"
"78";"16";"Oxalis lasiopetala";"fac_only"
"79";"16";"Senecio melanopotamicus";"fac_only"
"80";"16";"Baccharis gilliesii";"fac_only"
"81";"16";"Boopis anthemoides";"fac_only"
"82";"16";"Trichocline sinuata";"fac_only"
"83";"16";"Junellia seriphioides";"fac_only"
"84";"16";"Baccharis melanopotamica";"fac_only"
"85";"16";"Brachyclados lycioides";"fac_only"
"86";"16";"Pappophorum vaginatum";"fac_only"
"87";"16";"Spergula ramosa";"fac_only"
"88";"16";"Acantholippia seriphioides";"fac_only"
"89";"16";"Hysterionica jasionoides";"fac_only"
"90";"16";"Jarava plumosa";"fac_only"
"91";"16";"Ephedra ochreata";"fac_only"
"92";"17";"Senna aphylla";"match"
"93";"17";"Monttea aphylla";"match"
"94";"17";"Sphaeralcea mendocina";"match"
"95";"17";"Pappostipa humilis";"match"
"96";"17";"Nassella longiglumis";"match"
"97";"17";"Condalia microphylla";"match"
"98";"17";"Baccharis ulicina";"match"
"99";"17";"Brachyclados lycioides";"match"
"100";"17";"Trichocline sinuata";"match"
"101";"17";"Ephedra ochreata";"match"
