"";"ID";"spname";"position"
"1";"1";"Echium trygorrhizum";"match"
"2";"1";"Ajuga iva";"match"
"3";"1";"Stipa tenacissima";"match"
"4";"1";"Atractylis serratuloides";"match"
"5";"1";"Iris sisyrynchium";"match"
"6";"1";"Scorzonera undulata";"match"
"7";"1";"Allium cupani";"match"
"8";"1";"Plantago albicans";"match"
"9";"1";"Stipa parviflora";"match"
"10";"1";"Paronychia argentea";"match"
"11";"1";"Stipa barbata";"match"
"12";"1";"Launaea resedifolia";"FT_only"
"13";"1";"Noaea mucronata";"FT_only"
"14";"1";"Salvia verbenaca";"FT_only"
"15";"1";"Muscari comosum";"FT_only"
"16";"1";"Argyrolobium uniflorum";"FT_only"
"17";"1";"Ziziphus lotus";"FT_only"
"18";"1";"Cynodon dactylon";"FT_only"
"19";"2";"Iris sisyrynchium";"match"
"20";"2";"Ajuga iva";"match"
"21";"2";"Paronychia argentea";"match"
"22";"2";"Matthiola longipetala";"match"
"23";"2";"Allium cupani";"match"
"24";"2";"Artemisia campestris";"match"
"25";"2";"Atractylis serratuloides";"match"
"26";"2";"Echium trygorrhizum";"match"
"27";"2";"Stipa tenacissima";"match"
"28";"2";"Scorzonera undulata";"match"
"29";"2";"Stipa parviflora";"match"
"30";"2";"Plantago albicans";"match"
"31";"2";"Salvia verbenaca";"fac_only"
"32";"2";"Helanthemum aperta";"fac_only"
"33";"2";"Dactylis glomerata";"FT_only"
"34";"2";"Stipa barbata";"FT_only"
"35";"2";"Echinops spinosus";"FT_only"
"36";"2";"Telephium imperati";"FT_only"
"37";"2";"Ziziphus lotus";"FT_only"
"38";"2";"Noaea mucronata";"FT_only"
"39";"2";"Argyrolobium uniflorum";"FT_only"
"40";"2";"Scorzonera laciniata";"FT_only"
"41";"3";"Stipa tenacissima";"match"
"42";"3";"Stipa parviflora";"match"
"43";"3";"Iris sisyrynchium";"match"
"44";"3";"Telephium imperati";"match"
"45";"3";"Paronychia argentea";"match"
"46";"3";"Atractylis serratuloides";"match"
"47";"3";"Scorzonera undulata";"match"
"48";"3";"Noaea mucronata";"match"
"49";"3";"Plantago albicans";"match"
"50";"3";"Ajuga iva";"match"
"51";"3";"Allium cupani";"match"
"52";"3";"Stipa barbata";"match"
"53";"3";"Salvia verbenaca";"match"
"54";"3";"Launaea resedifolia";"FT_only"
"55";"3";"Echium trygorrhizum";"FT_only"
"56";"3";"Argyrolobium uniflorum";"FT_only"
"57";"3";"Matthiola longipetala";"FT_only"
"58";"3";"Dactylis glomerata";"FT_only"
"59";"16";"Condalia microphylla";"match"
"60";"16";"Lycium chilense";"match"
"61";"16";"Pappostipa humilis";"match"
"62";"16";"Larrea cuneifolia";"match"
"63";"16";"Larrea divaricata";"match"
"64";"16";"Ephedra triandra";"match"
"65";"16";"Conyza lorentzii";"match"
"66";"16";"Nassella tenuis";"match"
"67";"16";"Schinus johnstonii";"match"
"68";"16";"Prosopidastrum globosum";"match"
"69";"16";"Bredemeyera microphylla";"match"
"70";"16";"Poa ligularis";"match"
"71";"16";"Monttea aphylla";"match"
"72";"16";"Senna aphylla";"match"
"73";"16";"Poa lanuginosa";"match"
"74";"16";"Prosopis flexuosa";"match"
"75";"16";"Chuquiraga rosulata";"match"
"76";"16";"Aloysia gratissima";"match"
"77";"16";"Amelichloa ambigua";"match"
"78";"16";"Glandularia parodii";"match"
"79";"16";"Sphaeralcea mendocina";"match"
"80";"16";"Nassella longiglumis";"match"
"81";"16";"Baccharis ulicina";"match"
"82";"16";"Geoffroea decorticans";"match"
"83";"16";"Pappostipa speciosa";"match"
"84";"16";"Oxalis lasiopetala";"fac_only"
"85";"16";"Senecio melanopotamicus";"fac_only"
"86";"16";"Baccharis gilliesii";"fac_only"
"87";"16";"Boopis anthemoides";"fac_only"
"88";"16";"Trichocline sinuata";"fac_only"
"89";"16";"Junellia seriphioides";"fac_only"
"90";"16";"Baccharis melanopotamica";"fac_only"
"91";"16";"Brachyclados lycioides";"fac_only"
"92";"16";"Pappophorum vaginatum";"fac_only"
"93";"16";"Spergula ramosa";"fac_only"
"94";"16";"Acantholippia seriphioides";"fac_only"
"95";"16";"Hysterionica jasionoides";"fac_only"
"96";"16";"Jarava plumosa";"fac_only"
"97";"16";"Ephedra ochreata";"fac_only"
"98";"16";"Grindelia brachystephana";"FT_only"
"99";"16";"Baccharis crispa";"FT_only"
"100";"17";"Sphaeralcea mendocina";"match"
"101";"17";"Brachyclados lycioides";"match"
"102";"17";"Trichocline sinuata";"match"
"103";"17";"Ephedra ochreata";"match"
"104";"17";"Pappostipa humilis";"match"
