"","ID","plotref","Site","Country","Plot","Genus","Species","MeanLL","MeanSLA","MeanLDMC","MeanLA","MaxH","MaxLS","site_ID","GRAZ","ARIDITY.v3"
"1",1,"1_1","El Ouassria","Algeria",1,"Stipa","tenacissima",21,64.62467871,0.514277598,1.307304762,66,8500,1,3,0.8301
"2",1,"1_1","El Ouassria","Algeria",1,"Atractylis","serratuloides",2.580666667,74.49095107,0.260839165,0.637067205,11,70,1,3,0.8301
"3",1,"1_1","El Ouassria","Algeria",1,"Allium","cupani",12.66666667,106.718513,0.246290493,0.573061111,16,80,1,3,0.8301
"4",1,"1_1","El Ouassria","Algeria",1,"Argyrolobium","uniflorum",1.805,81.27857143,0.275135135,0.339104167,6,255,1,3,0.8301
"5",1,"1_1","El Ouassria","Algeria",1,"Ajuga","iva",NA,NA,NA,NA,NA,NA,1,3,0.8301
"6",1,"1_1","El Ouassria","Algeria",1,"Muscari","comosum",NA,NA,NA,NA,NA,NA,1,3,0.8301
"7",1,"1_1","El Ouassria","Algeria",1,"Ziziphus","lotus",NA,NA,NA,NA,NA,NA,1,3,0.8301
"8",1,"1_1","El Ouassria","Algeria",1,"Launaea","resedifolia",NA,NA,NA,NA,NA,NA,1,3,0.8301
"9",1,"1_1","El Ouassria","Algeria",1,"Noaea","mucronata",NA,NA,NA,NA,NA,NA,1,3,0.8301
"10",1,"1_1","El Ouassria","Algeria",1,"Plantago","albicans",3.955555556,130.2972232,0.251220825,1.364767725,4,42,1,3,0.8301
"11",1,"1_1","El Ouassria","Algeria",1,"Echium","trygorrhizum",2.5,152.1973397,0.185393253,0.534312229,6,16,1,3,0.8301
"12",1,"1_1","El Ouassria","Algeria",1,"Salvia","verbenaca",9,118.6333333,0.148760331,5.3385,2,66,1,3,0.8301
"13",1,"1_1","El Ouassria","Algeria",1,"Stipa","parviflora",7.333333333,109.9861111,0.488451806,0.643033333,7,440,1,3,0.8301
