"","ID","plotref","Site","Country","Plot","Genus","Species","MeanLL","MeanSLA","MeanLDMC","MeanLA","MaxH","MaxLS","site_ID","GRAZ","ARIDITY.v3","sp_fullname"
"1",1,"1_1","El Ouassria","Algeria",1,"Stipa","tenacissima",21,64.62467871,0.514277598,1.307304762,66,8500,1,3,0.8301,"Stipa tenacissima"
"2",1,"1_1","El Ouassria","Algeria",1,"Atractylis","serratuloides",2.580666667,74.49095107,0.260839165,0.637067205,11,70,1,3,0.8301,"Atractylis serratuloides"
"3",1,"1_1","El Ouassria","Algeria",1,"Allium","cupani",12.66666667,106.718513,0.246290493,0.573061111,16,80,1,3,0.8301,"Allium cupani"
"5",1,"1_1","El Ouassria","Algeria",1,"Ajuga","iva",NA,NA,NA,NA,NA,NA,1,3,0.8301,"Ajuga iva"
"10",1,"1_1","El Ouassria","Algeria",1,"Plantago","albicans",3.955555556,130.2972232,0.251220825,1.364767725,4,42,1,3,0.8301,"Plantago albicans"
"11",1,"1_1","El Ouassria","Algeria",1,"Echium","trygorrhizum",2.5,152.1973397,0.185393253,0.534312229,6,16,1,3,0.8301,"Echium trygorrhizum"
"13",1,"1_1","El Ouassria","Algeria",1,"Stipa","parviflora",7.333333333,109.9861111,0.488451806,0.643033333,7,440,1,3,0.8301,"Stipa parviflora"
"15",1,"1_1","El Ouassria","Algeria",1,"Iris","sisyrynchium",6.891666667,119.4692883,0.287961275,1.250261111,8,52,1,3,0.8301,"Iris sisyrynchium"
"16",1,"1_1","El Ouassria","Algeria",1,"Scorzonera","undulata",9,104.8636364,0.173228346,2.307,1,130,1,3,0.8301,"Scorzonera undulata"
"17",1,"1_1","El Ouassria","Algeria",1,"Paronychia","argentea",0.41,149.3333333,0.6,0.01792,2,4,1,3,0.8301,"Paronychia argentea"
"18",1,"1_1","El Ouassria","Algeria",1,"Stipa","barbata",6.616666667,106.9887157,0.442791785,0.37295377,6,270,1,3,0.8301,"Stipa barbata"
"19",2,"1_2","El Ouassria","Algeria",2,"Iris","sisyrynchium",13.28571429,94.1609988,0.304103476,0.812502778,13,221,1,2,0.8317,"Iris sisyrynchium"
"20",2,"1_2","El Ouassria","Algeria",2,"Ajuga","iva",NA,NA,NA,NA,NA,NA,1,2,0.8317,"Ajuga iva"
"22",2,"1_2","El Ouassria","Algeria",2,"Scorzonera","undulata",13,140.7777778,0.138461538,1.0136,3,66,1,2,0.8317,"Scorzonera undulata"
"24",2,"1_2","El Ouassria","Algeria",2,"Stipa","parviflora",7.288,114.4127937,0.516466957,0.601649524,10,196,1,2,0.8317,"Stipa parviflora"
"25",2,"1_2","El Ouassria","Algeria",2,"Plantago","albicans",3.386666667,116.5999613,0.32559313,0.795645671,6,72,1,2,0.8317,"Plantago albicans"
"29",2,"1_2","El Ouassria","Algeria",2,"Matthiola","longipetala",5.08,88.17948718,0.228706967,2.6485,6,143,1,2,0.8317,"Matthiola longipetala"
"30",2,"1_2","El Ouassria","Algeria",2,"Allium","cupani",11.8,104.7680279,0.224176133,0.352943214,11,400,1,2,0.8317,"Allium cupani"
"31",2,"1_2","El Ouassria","Algeria",2,"Paronychia","argentea",0.745,99.33662281,0.411413043,0.057099521,2,24,1,2,0.8317,"Paronychia argentea"
"33",2,"1_2","El Ouassria","Algeria",2,"Stipa","tenacissima",55.58333333,40.44409228,0.613103542,1.464959722,103,20300,1,2,0.8317,"Stipa tenacissima"
"34",2,"1_2","El Ouassria","Algeria",2,"Atractylis","serratuloides",2.773333333,57.11469756,0.32702872,0.719693095,10,440,1,2,0.8317,"Atractylis serratuloides"
"37",2,"1_2","El Ouassria","Algeria",2,"Artemisia","campestris",2.63,107.6111111,0.288,0.430444444,21,540,1,2,0.8317,"Artemisia campestris"
"38",2,"1_2","El Ouassria","Algeria",2,"Echium","trygorrhizum",2.84,158.95,0.117647059,1.059666667,2,35,1,2,0.8317,"Echium trygorrhizum"
"41",3,"1_3","El Ouassria","Algeria",3,"Scorzonera","undulata",13,131.9617891,0.144347654,1.065522619,5,308,1,1,0.8317,"Scorzonera undulata"
"43",3,"1_3","El Ouassria","Algeria",3,"Plantago","albicans",3.264,125.2216567,0.207174829,0.894984127,9,99,1,1,0.8317,"Plantago albicans"
"44",3,"1_3","El Ouassria","Algeria",3,"Ajuga","iva",2.3225,124.5392439,0.234381549,0.664321875,6,24,1,1,0.8317,"Ajuga iva"
"45",3,"1_3","El Ouassria","Algeria",3,"Noaea","mucronata",2.4475,70.79205032,0.285059621,0.11245858,16,616,1,1,0.8317,"Noaea mucronata"
"46",3,"1_3","El Ouassria","Algeria",3,"Atractylis","serratuloides",2.69,59.53066145,0.293337373,0.700300085,12,700,1,1,0.8317,"Atractylis serratuloides"
"47",3,"1_3","El Ouassria","Algeria",3,"Stipa","parviflora",8,96.39130435,0.410714286,0.4434,12,160,1,1,0.8317,"Stipa parviflora"
"48",3,"1_3","El Ouassria","Algeria",3,"Iris","sisyrynchium",15.8,83.17512842,0.277158879,1.226317778,19,729,1,1,0.8317,"Iris sisyrynchium"
"49",3,"1_3","El Ouassria","Algeria",3,"Telephium","imperati",2.5,135.5060445,0.225681783,0.197028387,1,170,1,1,0.8317,"Telephium imperati"
"50",3,"1_3","El Ouassria","Algeria",3,"Stipa","tenacissima",55,43.12481173,0.591705161,1.369743651,NA,NA,1,1,0.8317,"Stipa tenacissima"
"52",3,"1_3","El Ouassria","Algeria",3,"Allium","cupani",12.91666667,94.42840881,0.2168758,0.381693508,15,504,1,1,0.8317,"Allium cupani"
"53",3,"1_3","El Ouassria","Algeria",3,"Stipa","barbata",NA,NA,NA,NA,NA,NA,1,1,0.8317,"Stipa barbata"
"54",3,"1_3","El Ouassria","Algeria",3,"Salvia","verbenaca",4,97.3115942,0.241681261,3.35725,2,48,1,1,0.8317,"Salvia verbenaca"
"55",3,"1_3","El Ouassria","Algeria",3,"Paronychia","argentea",0.73,88.04227941,0.354545455,0.056430303,3,54,1,1,0.8317,"Paronychia argentea"
"57",16,"6_1","Rio Colorado","Argentina",1,"Condalia","microphylla",0.43125,51.1469179,0.437559714,0.03632037,165,40000,6,3,0.8212,"Condalia microphylla"
"58",16,"6_1","Rio Colorado","Argentina",1,"Lycium","chilense",0.825,132.4130622,0.207770795,0.042346663,158,5500,6,3,0.8212,"Lycium chilense"
"59",16,"6_1","Rio Colorado","Argentina",1,"Pappostipa","humilis",44.55555556,94.06361721,0.51389471,0.252234035,60,1650,6,3,0.8212,"Pappostipa humilis"
"60",16,"6_1","Rio Colorado","Argentina",1,"Larrea","cuneifolia",NA,NA,NA,NA,NA,NA,6,3,0.8212,"Larrea cuneifolia"
"61",16,"6_1","Rio Colorado","Argentina",1,"Larrea","divaricata",NA,NA,NA,NA,NA,NA,6,3,0.8212,"Larrea divaricata"
"62",16,"6_1","Rio Colorado","Argentina",1,"Ephedra","triandra",NA,NA,NA,NA,NA,NA,6,3,0.8212,"Ephedra triandra"
"63",16,"6_1","Rio Colorado","Argentina",1,"Conyza","lorentzii",9,99.37209302,0.26875,0.8546,40,320,6,3,0.8212,"Conyza lorentzii"
"64",16,"6_1","Rio Colorado","Argentina",1,"Nassella","tenuis",22.04714286,101.9731297,0.379462848,0.256755613,70,2100,6,3,0.8212,"Nassella tenuis"
"65",16,"6_1","Rio Colorado","Argentina",1,"Schinus","johnstonii",1.4,50.89073227,0.488270595,0.4279,120,8000,6,3,0.8212,"Schinus johnstonii"
"66",16,"6_1","Rio Colorado","Argentina",1,"Prosopidastrum","globosum",NA,NA,NA,NA,NA,NA,6,3,0.8212,"Prosopidastrum globosum"
"67",16,"6_1","Rio Colorado","Argentina",1,"Bredemeyera","microphylla",NA,NA,NA,NA,NA,NA,6,3,0.8212,"Bredemeyera microphylla"
