"","ID","Site","Country","Plot","MeanLL","MeanSLA","MeanLDMC","MeanLA","MaxH","MaxLS","site_ID","GRAZ","ARIDITY.v3","sp_fullname"
"1",1,"El Ouassria","Algeria",1,21,64.62467871,0.514277598,1.307304762,66,8500,1,3,0.8301,"Stipa tenacissima"
"2",1,"El Ouassria","Algeria",1,2.580666667,74.49095107,0.260839165,0.637067205,11,70,1,3,0.8301,"Atractylis serratuloides"
"3",1,"El Ouassria","Algeria",1,12.66666667,106.718513,0.246290493,0.573061111,16,80,1,3,0.8301,"Allium cupani"
"4",1,"El Ouassria","Algeria",1,NA,NA,NA,NA,NA,NA,1,3,0.8301,"Ajuga iva"
"5",1,"El Ouassria","Algeria",1,3.955555556,130.2972232,0.251220825,1.364767725,4,42,1,3,0.8301,"Plantago albicans"
"6",1,"El Ouassria","Algeria",1,2.5,152.1973397,0.185393253,0.534312229,6,16,1,3,0.8301,"Echium trygorrhizum"
"7",1,"El Ouassria","Algeria",1,7.333333333,109.9861111,0.488451806,0.643033333,7,440,1,3,0.8301,"Stipa parviflora"
"8",1,"El Ouassria","Algeria",1,6.891666667,119.4692883,0.287961275,1.250261111,8,52,1,3,0.8301,"Iris sisyrynchium"
"9",1,"El Ouassria","Algeria",1,9,104.8636364,0.173228346,2.307,1,130,1,3,0.8301,"Scorzonera undulata"
"10",1,"El Ouassria","Algeria",1,0.41,149.3333333,0.6,0.01792,2,4,1,3,0.8301,"Paronychia argentea"
"11",1,"El Ouassria","Algeria",1,6.616666667,106.9887157,0.442791785,0.37295377,6,270,1,3,0.8301,"Stipa barbata"
"12",2,"El Ouassria","Algeria",2,13.28571429,94.1609988,0.304103476,0.812502778,13,221,1,2,0.8317,"Iris sisyrynchium"
"13",2,"El Ouassria","Algeria",2,NA,NA,NA,NA,NA,NA,1,2,0.8317,"Ajuga iva"
"14",2,"El Ouassria","Algeria",2,13,140.7777778,0.138461538,1.0136,3,66,1,2,0.8317,"Scorzonera undulata"
"15",2,"El Ouassria","Algeria",2,7.288,114.4127937,0.516466957,0.601649524,10,196,1,2,0.8317,"Stipa parviflora"
"16",2,"El Ouassria","Algeria",2,3.386666667,116.5999613,0.32559313,0.795645671,6,72,1,2,0.8317,"Plantago albicans"
"17",2,"El Ouassria","Algeria",2,5.08,88.17948718,0.228706967,2.6485,6,143,1,2,0.8317,"Matthiola longipetala"
"18",2,"El Ouassria","Algeria",2,11.8,104.7680279,0.224176133,0.352943214,11,400,1,2,0.8317,"Allium cupani"
"19",2,"El Ouassria","Algeria",2,0.745,99.33662281,0.411413043,0.057099521,2,24,1,2,0.8317,"Paronychia argentea"
"20",2,"El Ouassria","Algeria",2,55.58333333,40.44409228,0.613103542,1.464959722,103,20300,1,2,0.8317,"Stipa tenacissima"
"21",2,"El Ouassria","Algeria",2,2.773333333,57.11469756,0.32702872,0.719693095,10,440,1,2,0.8317,"Atractylis serratuloides"
"22",2,"El Ouassria","Algeria",2,2.63,107.6111111,0.288,0.430444444,21,540,1,2,0.8317,"Artemisia campestris"
"23",2,"El Ouassria","Algeria",2,2.84,158.95,0.117647059,1.059666667,2,35,1,2,0.8317,"Echium trygorrhizum"
"24",3,"El Ouassria","Algeria",3,13,131.9617891,0.144347654,1.065522619,5,308,1,1,0.8317,"Scorzonera undulata"
"25",3,"El Ouassria","Algeria",3,3.264,125.2216567,0.207174829,0.894984127,9,99,1,1,0.8317,"Plantago albicans"
"26",3,"El Ouassria","Algeria",3,2.3225,124.5392439,0.234381549,0.664321875,6,24,1,1,0.8317,"Ajuga iva"
"27",3,"El Ouassria","Algeria",3,2.4475,70.79205032,0.285059621,0.11245858,16,616,1,1,0.8317,"Noaea mucronata"
"28",3,"El Ouassria","Algeria",3,2.69,59.53066145,0.293337373,0.700300085,12,700,1,1,0.8317,"Atractylis serratuloides"
"29",3,"El Ouassria","Algeria",3,8,96.39130435,0.410714286,0.4434,12,160,1,1,0.8317,"Stipa parviflora"
"30",3,"El Ouassria","Algeria",3,15.8,83.17512842,0.277158879,1.226317778,19,729,1,1,0.8317,"Iris sisyrynchium"
"31",3,"El Ouassria","Algeria",3,2.5,135.5060445,0.225681783,0.197028387,1,170,1,1,0.8317,"Telephium imperati"
"32",3,"El Ouassria","Algeria",3,55,43.12481173,0.591705161,1.369743651,NA,NA,1,1,0.8317,"Stipa tenacissima"
"33",3,"El Ouassria","Algeria",3,12.91666667,94.42840881,0.2168758,0.381693508,15,504,1,1,0.8317,"Allium cupani"
"34",3,"El Ouassria","Algeria",3,NA,NA,NA,NA,NA,NA,1,1,0.8317,"Stipa barbata"
"35",3,"El Ouassria","Algeria",3,4,97.3115942,0.241681261,3.35725,2,48,1,1,0.8317,"Salvia verbenaca"
"36",3,"El Ouassria","Algeria",3,0.73,88.04227941,0.354545455,0.056430303,3,54,1,1,0.8317,"Paronychia argentea"
"37",16,"Rio Colorado","Argentina",1,0.43125,51.1469179,0.437559714,0.03632037,165,40000,6,3,0.8212,"Condalia microphylla"
"38",16,"Rio Colorado","Argentina",1,0.825,132.4130622,0.207770795,0.042346663,158,5500,6,3,0.8212,"Lycium chilense"
"39",16,"Rio Colorado","Argentina",1,44.55555556,94.06361721,0.51389471,0.252234035,60,1650,6,3,0.8212,"Pappostipa humilis"
"40",16,"Rio Colorado","Argentina",1,NA,NA,NA,NA,NA,NA,6,3,0.8212,"Larrea cuneifolia"
"41",16,"Rio Colorado","Argentina",1,NA,NA,NA,NA,NA,NA,6,3,0.8212,"Larrea divaricata"
"42",16,"Rio Colorado","Argentina",1,NA,NA,NA,NA,NA,NA,6,3,0.8212,"Ephedra triandra"
"43",16,"Rio Colorado","Argentina",1,9,99.37209302,0.26875,0.8546,40,320,6,3,0.8212,"Conyza lorentzii"
"44",16,"Rio Colorado","Argentina",1,22.04714286,101.9731297,0.379462848,0.256755613,70,2100,6,3,0.8212,"Nassella tenuis"
"45",16,"Rio Colorado","Argentina",1,1.4,50.89073227,0.488270595,0.4279,120,8000,6,3,0.8212,"Schinus johnstonii"
"46",16,"Rio Colorado","Argentina",1,NA,NA,NA,NA,NA,NA,6,3,0.8212,"Prosopidastrum globosum"
"47",16,"Rio Colorado","Argentina",1,NA,NA,NA,NA,NA,NA,6,3,0.8212,"Bredemeyera microphylla"
"48",16,"Rio Colorado","Argentina",1,NA,NA,NA,NA,NA,NA,6,3,0.8212,"Poa ligularis"
"49",16,"Rio Colorado","Argentina",1,NA,NA,NA,NA,NA,NA,6,3,0.8212,"Monttea aphylla"
"50",16,"Rio Colorado","Argentina",1,NA,NA,NA,NA,NA,NA,6,3,0.8212,"Senna aphylla"
"51",16,"Rio Colorado","Argentina",1,NA,NA,NA,NA,NA,NA,6,3,0.8212,"Poa lanuginosa"
"52",16,"Rio Colorado","Argentina",1,9.736666667,59.90600101,0.411080516,8.259888889,200,70000,6,3,0.8212,"Prosopis flexuosa"
"53",16,"Rio Colorado","Argentina",1,0.58,35.24761905,0.621301775,0.036284314,56,7560,6,3,0.8212,"Chuquiraga rosulata"
"54",16,"Rio Colorado","Argentina",1,2.43,105.255814,0.421568627,0.9052,70,2700,6,3,0.8212,"Aloysia gratissima"
"55",16,"Rio Colorado","Argentina",1,49.42857143,61.16544342,0.43815546,0.933812657,74,8000,6,3,0.8212,"Amelichloa ambigua"
"56",16,"Rio Colorado","Argentina",1,2.9,75.31011071,0.319075761,0.782971429,40,1050,6,3,0.8212,"Glandularia parodii"
"57",16,"Rio Colorado","Argentina",1,2.191428571,182.6375931,0.24198599,1.369257143,20,216,6,3,0.8212,"Sphaeralcea mendocina"
"58",16,"Rio Colorado","Argentina",1,38.55555556,82.73043498,0.419774814,1.013942574,70,6216,6,3,0.8212,"Nassella longiglumis"
"59",16,"Rio Colorado","Argentina",1,1.558181818,119.0641042,0.344491681,0.162004133,52.5,1584,6,3,0.8212,"Baccharis ulicina"
"60",16,"Rio Colorado","Argentina",1,2.06,80.52040816,0.404958678,1.315166667,166,7600,6,3,0.8212,"Geoffroea decorticans"
"61",16,"Rio Colorado","Argentina",1,52.5,43.7774626,0.461175954,0.404873563,56,3600,6,3,0.8212,"Pappostipa speciosa"
"62",17,"Rio Colorado","Argentina",2,NA,NA,NA,NA,NA,NA,6,2,0.8223,"Sphaeralcea mendocina"
"63",17,"Rio Colorado","Argentina",2,3.46,71.15217391,0.37704918,0.5455,32,2385,6,2,0.8223,"Brachyclados lycioides"
"64",17,"Rio Colorado","Argentina",2,8,101.3918919,0.259345794,9.0036,6,209,6,2,0.8223,"Trichocline sinuata"
"65",17,"Rio Colorado","Argentina",2,10.36,17.22262774,0.440514469,1.8876,40,4900,6,2,0.8223,"Ephedra ochreata"
"66",17,"Rio Colorado","Argentina",2,25,99.35135135,0.560606061,0.14704,20,440,6,2,0.8223,"Pappostipa humilis"
"67",17,"Rio Colorado","Argentina",2,NA,NA,NA,NA,NA,NA,6,2,0.8223,"Junellia seriphioides"
"68",17,"Rio Colorado","Argentina",2,7.13,13.85955056,0.53776435,0.9868,16,897,6,2,0.8223,"Prosopidastrum globosum"
"69",17,"Rio Colorado","Argentina",2,6.2325,306.7566545,0.186941566,3.23115,44,360,6,2,0.8223,"Conyza lorentzii"
"70",17,"Rio Colorado","Argentina",2,0.633333333,42.23969039,0.652801311,0.035712081,125,10260,6,2,0.8223,"Chuquiraga rosulata"
"71",17,"Rio Colorado","Argentina",2,6.95,23.85897436,0.480739599,1.063428571,30,6000,6,2,0.8223,"Senna aphylla"
"72",17,"Rio Colorado","Argentina",2,NA,NA,NA,NA,NA,NA,6,2,0.8223,"Nassella longiglumis"
"73",17,"Rio Colorado","Argentina",2,0.42,62.60273973,0.439759036,0.042314815,15,26800,6,2,0.8223,"Condalia microphylla"
"74",17,"Rio Colorado","Argentina",2,1.88,108.852459,0.319371728,0.086233766,34,40000,6,2,0.8223,"Baccharis ulicina"
"75",17,"Rio Colorado","Argentina",2,66.75,62.17157266,0.449736047,0.463430067,60,3000,6,2,0.8223,"Pappostipa speciosa"
"76",17,"Rio Colorado","Argentina",2,5.94,20.01345291,0.446,0.743833333,180,42000,6,2,0.8223,"Monttea aphylla"
"77",17,"Rio Colorado","Argentina",2,11,41.0927888,0.46615238,6.6375,180,110200,6,2,0.8223,"Prosopis flexuosa"
"78",17,"Rio Colorado","Argentina",2,1.28,109.7627119,0.347058824,0.087513514,27,690,6,2,0.8223,"Baccharis gilliesii"
"79",17,"Rio Colorado","Argentina",2,0.95,83.54410456,0.450876657,0.292470068,300,98600,6,2,0.8223,"Larrea divaricata"
"80",17,"Rio Colorado","Argentina",2,0.2825,72.08177673,0.458530923,0.017530626,42,3500,6,2,0.8223,"Acantholippia seriphioides"
"81",17,"Rio Colorado","Argentina",2,0.995714286,121.0865962,0.286261819,0.043826853,180,23100,6,2,0.8223,"Lycium chilense"
"82",17,"Rio Colorado","Argentina",2,22.38888889,117.3273257,0.382316014,0.259508328,26,1496,6,2,0.8223,"Nassella tenuis"
"83",17,"Rio Colorado","Argentina",2,3.176666667,79.89250402,0.324572928,1.078666667,27,918,6,2,0.8223,"Glandularia parodii"
"84",17,"Rio Colorado","Argentina",2,0.87,107.5491733,0.407595184,0.019839294,6,192,6,2,0.8223,"Cardionema ramosissima"
"85",17,"Rio Colorado","Argentina",2,0.935,64.88989899,0.431624897,0.064927394,50,2400,6,2,0.8223,"Bredemeyera microphylla"
"86",18,"Rio Colorado","Argentina",3,0.25,67.66447368,0.475,0.03016129,33,126,6,1,0.8223,"Acantholippia seriphioides"
"87",18,"Rio Colorado","Argentina",3,0.465555556,48.91681649,0.500639779,0.042212298,220,142355,6,1,0.8223,"Condalia microphylla"
"88",18,"Rio Colorado","Argentina",3,NA,NA,NA,NA,NA,NA,6,1,0.8223,"Baccharis crispa"
"89",18,"Rio Colorado","Argentina",3,8.17,18.03587706,0.496563191,1.281666667,100,2400,6,1,0.8223,"Ephedra triandra"
"90",18,"Rio Colorado","Argentina",3,19.84615385,122.4459931,0.41467299,0.201614596,30,660,6,1,0.8223,"Nassella tenuis"
"91",18,"Rio Colorado","Argentina",3,7.63,24.81967213,0.480314961,0.56775,37,1600,6,1,0.8223,"Senna aphylla"
"92",18,"Rio Colorado","Argentina",3,8.271428571,274.3707479,0.178556977,6.194942857,40,1540,6,1,0.8223,"Conyza lorentzii"
"93",18,"Rio Colorado","Argentina",3,55,46.95092025,0.468390805,0.364428571,50,2300,6,1,0.8223,"Amelichloa ambigua"
"94",18,"Rio Colorado","Argentina",3,1.3,99.64285714,0.449541284,0.107307692,18,100,6,1,0.8223,"Baccharis gilliesii"
