Country,Site,Plot,Genus,Species,coverDryfun20,coverBiodesert100,MeanLL,MeanSLA,MeanLDMC,MeanLA,MaxH,MaxLS,Phenolics,isotopic_d15N,isotopic_d13C,percentN,percentC,P,Al,Ba,Ca,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,Pb,S,Sr,Ti,Zn,Cd,As,Life_form,ELE-ALOS30,Lat_decimal,Long_decimal,ASPECT-ALOS30,SLOPE-ALOS30,AMT,RAI,RASE,AI,ARIDITY,BS_Tst,SAC b,WHC b,pH b,ORC b
Algeria,El Ouassria,1,Launaea,resedifolia,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herb,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Noaea,mucronata,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wood,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Salvia,verbenaca,1,,9,118.6333333,0.148760331,5.3385,2,66,,,,,,,,,,,,,,,,,,,,,,,,,Herb,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Echium,trygorrhizum,4,10,2.5,152.1973397,0.185393253,0.534312229,6,16,83.19281634,0.812648689,-29.04580312,3.081380815,41.01272965,,,,,,,,,,,,,,,,,,,,Wood,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Ajuga,iva,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wood,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Muscari,comosum,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herb,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Stipa,tenacissima,70,132,21,64.62467871,0.514277598,1.307304762,66,8500,10.58634073,-5.819512844,-26.75848469,1.126442696,38.4005194,,,,,,,,,,,,,,,,,,,,Grass,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Atractylis,serratuloides,15,68,2.580666667,74.49095107,0.260839165,0.637067205,11,70,15.76030321,-2.414715577,-29.27858819,1.981317316,46.32963671,1423.49,282.66,6.94,10573.49,53,10.88,457.1,17673.53,1396.95,26.23,313.8,17.73,,2494.75,37.99,71.06,20.25,,,Herb,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Iris,sisyrynchium,6,24,6.891666667,119.4692883,0.287961275,1.250261111,8,52,13.96880846,-1.948189116,-28.23615214,1.200517464,21.41776386,,,,,,,,,,,,,,,,,,,,Herb,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Scorzonera,undulata,1,8,9,104.8636364,0.173228346,2.307,1,130,,,,,,,,,,,,,,,,,,,,,,,,,Herb,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Allium,cupani,6,42,12.66666667,106.718513,0.246290493,0.573061111,16,80,26.40954151,-0.853643158,-27.30931491,4.36904713,40.56587601,,,,,,,,,,,,,,,,,,,,Herb,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Argyrolobium,uniflorum,2,6,1.805,81.27857143,0.275135135,0.339104167,6,255,,-0.379899695,-28.89614903,3.42185207,38.89831704,,,,,,,,,,,,,,,,,,,,Wood,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Plantago,albicans,11,50,3.955555556,130.2972232,0.251220825,1.364767725,4,42,26.86834331,-0.30100409,-30.65824668,2.136204797,27.56796725,,,,,,,,,,,,,,,,,,,,Herb,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Ziziphus,lotus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wood,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Stipa,parviflora,3,15,7.333333333,109.9861111,0.488451806,0.643033333,7,440,20.0144729,-0.089515112,-28.43468907,2.673009653,45.31180619,,,,,,,,,,,,,,,,,,,,Grass,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Cynodon,dactylon,1,2,2,189.5263158,0.404255319,0.189526316,1,80,,,,,,,,,,,,,,,,,,,,,,,,,Grass,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Paronychia,argentea,1,3,0.41,149.3333333,0.6,0.01792,2,4,,,,,,,,,,,,,,,,,,,,,,,,,Herb,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,1,Stipa,barbata,6,53,6.616666667,106.9887157,0.442791785,0.37295377,6,270,18.46275404,-2.556845899,-27.87775265,3.550893726,41.26633242,,,,,,,,,,,,,,,,,,,,Grass,850,35.26746,3.22381,129.2303925,1.466207147,15.45,312,37.73748,0.1681,0.8319,0.961111111,72.22222222,26.47058824,7.8,6.420407557
Algeria,El Ouassria,2,Dactylis,glomerata,2,,17,54.49765258,0.36535163,1.934666667,20,850,,,,,,,,,,,,,,,,,,,,,,,,,Grass,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Iris,sisyrynchium,7,31,13.28571429,94.1609988,0.304103476,0.812502778,13,221,34.13442579,-0.267340244,-26.92862138,1.830195628,43.88075756,,,,,,,,,,,,,,,,,,,,Herb,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Ajuga,iva,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wood,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Paronychia,argentea,2,7,0.745,99.33662281,0.411413043,0.057099521,2,24,,6.705986471,-27.94409707,1.423561005,38.49797805,,,,,,,,,,,,,,,,,,,,Herb,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Stipa,barbata,1,5,9,122.3243243,0.474358974,0.754333333,25,14,,,,,,,,,,,,,,,,,,,,,,,,,Grass,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Matthiola,longipetala,2,12,5.08,88.17948718,0.228706967,2.6485,6,143,,3.453577696,-26.05215993,2.518449817,36.57067881,,,,,,,,,,,,,,,,,,,,Wood,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Allium,cupani,17,73,11.8,104.7680279,0.224176133,0.352943214,11,400,36.79581498,2.645318899,-26.6048997,4.867324848,40.39140646,,,,,,,,,,,,,,,,,,,,Herb,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
