"","ID","condition","spname"
"1","1","nurse","Stipa tenacissima"
"2","1","micro_nurse","Scorzonera undulata"
"3","1","micro_nurse","Atractylis serratuloides"
"4","1","micro_nurse","Allium cupani"
"5","1","micro_nurse","Iris sisyrynchium"
"6","1","micro_nurse","Paronychia argentea"
"7","1","micro_nurse","Stipa barbata"
"8","1","micro_nurse","Stipa parviflora"
"9","1","micro_nurse","Plantago albicans"
"10","1","micro_nurse","Echium trygorrhizum"
"11","1","micro_bare","Scorzonera undulata"
"12","1","micro_bare","Iris sisyrynchium"
"13","1","micro_bare","Allium cupani"
"14","1","micro_bare","Atractylis serratuloides"
"15","1","micro_bare","Plantago albicans"
"16","1","micro_bare","Echium trygorrhizum"
"17","1","micro_bare","Ajuga iva"
"18","1","micro_bare","Stipa barbata"
"19","2","nurse","Stipa tenacissima"
"20","2","micro_nurse","Plantago albicans"
"21","2","micro_nurse","Artemisia campestris"
"22","2","micro_nurse","Allium cupani"
"23","2","micro_nurse","Atractylis serratuloides"
"24","2","micro_nurse","Matthiola longipetala"
"25","2","micro_nurse","Iris sisyrynchium"
"26","2","micro_nurse","Echium trygorrhizum"
"27","2","micro_nurse","Salvia verbenaca"
"28","2","micro_nurse","Paronychia argentea"
"29","2","micro_bare","Artemisia campestris"
"30","2","micro_bare","Plantago albicans"
"31","2","micro_bare","Allium cupani"
"32","2","micro_bare","Atractylis serratuloides"
"33","2","micro_bare","Scorzonera undulata"
"34","2","micro_bare","Stipa parviflora"
"35","2","micro_bare","Iris sisyrynchium"
"36","2","micro_bare","Matthiola longipetala"
"37","2","micro_bare","Ajuga iva"
"38","2","micro_bare","Paronychia argentea"
"39","2","micro_bare","Helanthemum aperta"
"40","3","nurse","Stipa tenacissima"
"41","3","micro_nurse","Atractylis serratuloides"
"42","3","micro_nurse","Iris sisyrynchium"
"43","3","micro_nurse","Plantago albicans"
"44","3","micro_nurse","Allium cupani"
"45","3","micro_nurse","Salvia verbenaca"
"46","3","micro_nurse","Paronychia argentea"
"47","3","micro_nurse","Telephium imperati"
"48","3","micro_nurse","Noaea mucronata"
"49","3","micro_nurse","Scorzonera undulata"
"50","3","micro_nurse","Ajuga iva"
"51","3","micro_bare","Iris sisyrynchium"
"52","3","micro_bare","Allium cupani"
"53","3","micro_bare","Atractylis serratuloides"
"54","3","micro_bare","Plantago albicans"
"55","3","micro_bare","Ajuga iva"
"56","3","micro_bare","Telephium imperati"
"57","3","micro_bare","Stipa parviflora"
"58","3","micro_bare","Paronychia argentea"
"59","3","micro_bare","Stipa barbata"
"60","3","micro_bare","Salvia verbenaca"
"61","3","micro_bare","Scorzonera undulata"
"62","3","micro_bare","Noaea mucronata"
"63","16","nurse","Condalia microphylla"
"64","16","nurse","Prosopis flexuosa var. depressa"
"65","16","nurse","Larrea divaricata"
"66","16","micro_nurse","Amelichloa ambigua"
"67","16","micro_nurse","Sphaeralcea mendocina"
"68","16","micro_nurse","Nassella longiglumis"
"69","16","micro_nurse","Baccharis ulicina"
"70","16","micro_nurse","Conyza lorentzii"
"71","16","micro_nurse","Nassella tenuis"
"72","16","micro_nurse","Glandularia parodii"
"73","16","micro_nurse","Pappostipa humilis"
"74","16","micro_nurse","Lycium chilense"
"75","16","micro_nurse","Schinus johnstonii"
"76","16","micro_nurse","Ephedra triandra"
"77","16","micro_nurse","Aloysia gratissima"
"78","16","micro_nurse","Pappostipa speciosa"
"79","16","micro_nurse","Poa ligularis"
"80","16","micro_nurse","Oxalis lasiopetala"
"81","16","micro_nurse","Chuquiraga rosulata"
"82","16","micro_nurse","Prosopis flexuosa"
"83","16","micro_nurse","Senna aphylla"
"84","16","micro_nurse","Senecio melanopotamicus"
"85","16","micro_nurse","Baccharis gilliesii"
"86","16","micro_nurse","Boopis anthemoides"
"87","16","micro_nurse","Trichocline sinuata"
"88","16","micro_nurse","Bredemeyera microphylla"
"89","16","micro_nurse","Junellia seriphioides"
"90","16","micro_nurse","Poa lanuginosa"
"91","16","micro_nurse","Baccharis melanopotamica"
"92","16","micro_nurse","Geoffroea decorticans"
"93","16","micro_nurse","Brachyclados lycioides"
"94","16","micro_nurse","Condalia microphylla"
"95","16","micro_nurse","Pappophorum vaginatum"
"96","16","micro_nurse","Monttea aphylla"
"97","16","micro_nurse","Spergula ramosa"
"98","16","micro_nurse","Acantholippia seriphioides"
"99","16","micro_nurse","Prosopidastrum globosum"
"100","16","micro_nurse","Hysterionica jasionoides"
"101","16","micro_nurse","Larrea cuneifolia"
"102","16","micro_bare","Amelichloa ambigua"
"103","16","micro_bare","Sphaeralcea mendocina"
"104","16","micro_bare","Nassella longiglumis"
"105","16","micro_bare","Nassella tenuis"
"106","16","micro_bare","Baccharis ulicina"
"107","16","micro_bare","Aloysia gratissima"
"108","16","micro_bare","Glandularia parodii"
"109","16","micro_bare","Prosopis flexuosa"
"110","16","micro_bare","Schinus johnstonii"
"111","16","micro_bare","Pappostipa humilis"
"112","16","micro_bare","Condalia microphylla"
"113","16","micro_bare","Lycium chilense"
"114","16","micro_bare","Baccharis gilliesii"
"115","16","micro_bare","Pappostipa speciosa"
"116","16","micro_bare","Ephedra triandra"
"117","16","micro_bare","Trichocline sinuata"
"118","16","micro_bare","Senna aphylla"
"119","16","micro_bare","Jarava plumosa"
"120","16","micro_bare","Ephedra ochreata"
"121","16","micro_bare","Monttea aphylla"
"122","16","micro_bare","Poa lanuginosa"
"123","16","micro_bare","Acantholippia seriphioides"
"124","16","micro_bare","Chuquiraga rosulata"
"125","16","micro_bare","Boopis anthemoides"
"126","16","micro_bare","Junellia seriphioides"
"127","16","micro_bare","Geoffroea decorticans"
"128","16","micro_bare","Conyza lorentzii"
"129","16","micro_bare","Spergula ramosa"
"130","16","micro_bare","Prosopidastrum globosum"
"131","16","micro_bare","Bredemeyera microphylla"
"132","16","micro_bare","Pappophorum vaginatum"
"133","16","micro_bare","Hysterionica jasionoides"
"134","16","micro_bare","Larrea divaricata"
"135","17","nurse","Larrea divaricata"
"136","17","micro_nurse","Pappostipa humilis"
"137","17","micro_nurse","Baccharis ulicina"
"138","17","micro_nurse","Poa lanuginosa"
"139","17","micro_nurse","Cardionema ramosissima"
"140","17","micro_nurse","Senna aphylla"
"141","17","micro_nurse","Euphorbia collina"
"142","17","micro_nurse","Nassella tenuis"
"143","17","micro_nurse","Lycium chilense"
"144","17","micro_nurse","Prosopis flexuosa"
"145","17","micro_nurse","Baccharis melanopotamica"
"146","17","micro_nurse","Pappostipa speciosa"
"147","17","micro_nurse","Chuquiraga rosulata"
"148","17","micro_nurse","Bredemeyera microphylla"
"149","17","micro_nurse","Glandularia parodii"
"150","17","micro_nurse","Sphaeralcea mendocina"
"151","17","micro_nurse","Acantholippia seriphioides"
"152","17","micro_nurse","Amelichloa ambigua"
"153","17","micro_nurse","Junellia seriphioides"
"154","17","micro_nurse","Baccharis gilliesii"
"155","17","micro_nurse","Aristida mendocina"
"156","17","micro_nurse","Senecio melanopotamicus"
"157","17","micro_nurse","Hysterionica jasionoides"
"158","17","micro_nurse","Ephedra ochreata"
"159","17","micro_nurse","Condalia microphylla"
"160","17","micro_nurse","Trichocline sinuata"
"161","17","micro_nurse","Nassella chilensis"
"162","17","micro_nurse","Nassella longiglumis"
"163","17","micro_nurse","Prosopidastrum globosum"
"164","17","micro_nurse","Boopis anthemoides"
"165","17","micro_nurse","Brachyclados lycioides"
"166","17","micro_nurse","Ephedra triandra"
"167","17","micro_nurse","Conyza lorentzii"
"168","17","micro_nurse","Monttea aphylla"
"169","17","micro_nurse","Gutierrezia baccharoides"
"170","17","micro_bare","Nassella tenuis"
"171","17","micro_bare","Cardionema ramosissima"
"172","17","micro_bare","Baccharis ulicina"
"173","17","micro_bare","Pappostipa speciosa"
"174","17","micro_bare","Pappostipa humilis"
"175","17","micro_bare","Nassella longiglumis"
"176","17","micro_bare","Glandularia parodii"
"177","17","micro_bare","Aristida mendocina"
"178","17","micro_bare","Senna aphylla"
"179","17","micro_bare","Senecio melanopotamicus"
"180","17","micro_bare","Poa lanuginosa"
"181","17","micro_bare","Sphaeralcea mendocina"
"182","17","micro_bare","Lycium chilense"
"183","17","micro_bare","Acantholippia seriphioides"
"184","17","micro_bare","Conyza lorentzii"
"185","17","micro_bare","Chuquiraga rosulata"
"186","17","micro_bare","Prosopis flexuosa"
"187","17","micro_bare","Ephedra ochreata"
"188","17","micro_bare","Baccharis gilliesii"
"189","17","micro_bare","Hysterionica jasionoides"
"190","17","micro_bare","Junellia seriphioides"
"191","17","micro_bare","Amelichloa ambigua"
"192","17","micro_bare","Trichocline sinuata"
