"","ID","nurse","target_sp","nurse_functional_group","target_functional_group","nurse_target_match","COU","SITE","SITE_ID","PLOT","GRAZ","ARIDITY.v3"
"1",1,"Bare","Scorzonera undulata",NA,3,NA,"Algeria","El Ouassria",1,1,3,0.8301
"2",1,"Bare","Iris sisyrynchium",NA,2,NA,"Algeria","El Ouassria",1,1,3,0.8301
"3",1,"Bare","Allium cupani",NA,3,NA,"Algeria","El Ouassria",1,1,3,0.8301
"4",1,"Bare","Atractylis serratuloides",NA,2,NA,"Algeria","El Ouassria",1,1,3,0.8301
"5",1,"Bare","Plantago albicans",NA,3,NA,"Algeria","El Ouassria",1,1,3,0.8301
"6",1,"Bare","Echium trygorrhizum",NA,3,NA,"Algeria","El Ouassria",1,1,3,0.8301
"7",1,"Bare","Ajuga iva",NA,3,NA,"Algeria","El Ouassria",1,1,3,0.8301
"8",1,"Bare","Stipa barbata",NA,2,NA,"Algeria","El Ouassria",1,1,3,0.8301
"9",1,"Stipa tenacissima","Scorzonera undulata",1,3,"1_3","Algeria","El Ouassria",1,1,3,0.8301
"10",1,"Stipa tenacissima","Atractylis serratuloides",1,2,"1_2","Algeria","El Ouassria",1,1,3,0.8301
"11",1,"Stipa tenacissima","Allium cupani",1,3,"1_3","Algeria","El Ouassria",1,1,3,0.8301
"12",1,"Stipa tenacissima","Iris sisyrynchium",1,2,"1_2","Algeria","El Ouassria",1,1,3,0.8301
"13",1,"Stipa tenacissima","Paronychia argentea",1,2,"1_2","Algeria","El Ouassria",1,1,3,0.8301
"14",1,"Stipa tenacissima","Stipa barbata",1,2,"1_2","Algeria","El Ouassria",1,1,3,0.8301
"15",1,"Stipa tenacissima","Stipa parviflora",1,2,"1_2","Algeria","El Ouassria",1,1,3,0.8301
"16",1,"Stipa tenacissima","Plantago albicans",1,3,"1_3","Algeria","El Ouassria",1,1,3,0.8301
"17",1,"Stipa tenacissima","Echium trygorrhizum",1,3,"1_3","Algeria","El Ouassria",1,1,3,0.8301
"18",2,"Bare","Artemisia campestris",NA,NA,NA,"Algeria","El Ouassria",1,2,2,0.8317
"19",2,"Bare","Plantago albicans",NA,3,NA,"Algeria","El Ouassria",1,2,2,0.8317
"20",2,"Bare","Allium cupani",NA,3,NA,"Algeria","El Ouassria",1,2,2,0.8317
"21",2,"Bare","Atractylis serratuloides",NA,2,NA,"Algeria","El Ouassria",1,2,2,0.8317
"22",2,"Bare","Scorzonera undulata",NA,3,NA,"Algeria","El Ouassria",1,2,2,0.8317
"23",2,"Bare","Stipa parviflora",NA,2,NA,"Algeria","El Ouassria",1,2,2,0.8317
"24",2,"Bare","Iris sisyrynchium",NA,2,NA,"Algeria","El Ouassria",1,2,2,0.8317
"25",2,"Bare","Matthiola longipetala",NA,3,NA,"Algeria","El Ouassria",1,2,2,0.8317
"26",2,"Bare","Ajuga iva",NA,3,NA,"Algeria","El Ouassria",1,2,2,0.8317
"27",2,"Bare","Paronychia argentea",NA,2,NA,"Algeria","El Ouassria",1,2,2,0.8317
"28",2,"Bare","Helanthemum aperta",NA,NA,NA,"Algeria","El Ouassria",1,2,2,0.8317
"29",2,"Stipa tenacissima","Plantago albicans",1,3,"1_3","Algeria","El Ouassria",1,2,2,0.8317
"30",2,"Stipa tenacissima","Artemisia campestris",1,NA,NA,"Algeria","El Ouassria",1,2,2,0.8317
"31",2,"Stipa tenacissima","Allium cupani",1,3,"1_3","Algeria","El Ouassria",1,2,2,0.8317
"32",2,"Stipa tenacissima","Atractylis serratuloides",1,2,"1_2","Algeria","El Ouassria",1,2,2,0.8317
"33",2,"Stipa tenacissima","Matthiola longipetala",1,3,"1_3","Algeria","El Ouassria",1,2,2,0.8317
"34",2,"Stipa tenacissima","Iris sisyrynchium",1,2,"1_2","Algeria","El Ouassria",1,2,2,0.8317
"35",2,"Stipa tenacissima","Echium trygorrhizum",1,3,"1_3","Algeria","El Ouassria",1,2,2,0.8317
"36",2,"Stipa tenacissima","Salvia verbenaca",1,NA,NA,"Algeria","El Ouassria",1,2,2,0.8317
"37",2,"Stipa tenacissima","Paronychia argentea",1,2,"1_2","Algeria","El Ouassria",1,2,2,0.8317
"38",3,"Bare","Iris sisyrynchium",NA,2,NA,"Algeria","El Ouassria",1,3,1,0.8317
"39",3,"Bare","Allium cupani",NA,3,NA,"Algeria","El Ouassria",1,3,1,0.8317
"40",3,"Bare","Atractylis serratuloides",NA,2,NA,"Algeria","El Ouassria",1,3,1,0.8317
"41",3,"Bare","Plantago albicans",NA,3,NA,"Algeria","El Ouassria",1,3,1,0.8317
"42",3,"Bare","Ajuga iva",NA,3,NA,"Algeria","El Ouassria",1,3,1,0.8317
"43",3,"Bare","Telephium imperati",NA,3,NA,"Algeria","El Ouassria",1,3,1,0.8317
"44",3,"Bare","Stipa parviflora",NA,2,NA,"Algeria","El Ouassria",1,3,1,0.8317
"45",3,"Bare","Paronychia argentea",NA,2,NA,"Algeria","El Ouassria",1,3,1,0.8317
"46",3,"Bare","Stipa barbata",NA,2,NA,"Algeria","El Ouassria",1,3,1,0.8317
"47",3,"Bare","Salvia verbenaca",NA,NA,NA,"Algeria","El Ouassria",1,3,1,0.8317
"48",3,"Bare","Scorzonera undulata",NA,3,NA,"Algeria","El Ouassria",1,3,1,0.8317
"49",3,"Bare","Noaea mucronata",NA,2,NA,"Algeria","El Ouassria",1,3,1,0.8317
"50",3,"Stipa tenacissima","Atractylis serratuloides",1,2,"1_2","Algeria","El Ouassria",1,3,1,0.8317
"51",3,"Stipa tenacissima","Iris sisyrynchium",1,2,"1_2","Algeria","El Ouassria",1,3,1,0.8317
"52",3,"Stipa tenacissima","Plantago albicans",1,3,"1_3","Algeria","El Ouassria",1,3,1,0.8317
"53",3,"Stipa tenacissima","Allium cupani",1,3,"1_3","Algeria","El Ouassria",1,3,1,0.8317
"54",3,"Stipa tenacissima","Salvia verbenaca",1,NA,NA,"Algeria","El Ouassria",1,3,1,0.8317
"55",3,"Stipa tenacissima","Paronychia argentea",1,2,"1_2","Algeria","El Ouassria",1,3,1,0.8317
"56",3,"Stipa tenacissima","Telephium imperati",1,3,"1_3","Algeria","El Ouassria",1,3,1,0.8317
"57",3,"Stipa tenacissima","Noaea mucronata",1,2,"1_2","Algeria","El Ouassria",1,3,1,0.8317
"58",3,"Stipa tenacissima","Scorzonera undulata",1,3,"1_3","Algeria","El Ouassria",1,3,1,0.8317
"59",3,"Stipa tenacissima","Ajuga iva",1,3,"1_3","Algeria","El Ouassria",1,3,1,0.8317
"60",16,"Bare","Amelichloa ambigua",NA,1,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"61",16,"Bare","Sphaeralcea mendocina",NA,3,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"62",16,"Bare","Nassella longiglumis",NA,1,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"63",16,"Bare","Nassella tenuis",NA,1,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"64",16,"Bare","Baccharis ulicina",NA,3,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"65",16,"Bare","Aloysia gratissima",NA,NA,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"66",16,"Bare","Glandularia parodii",NA,2,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"67",16,"Bare","Prosopis flexuosa",NA,1,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"68",16,"Bare","Schinus johnstonii",NA,2,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"69",16,"Bare","Pappostipa humilis",NA,1,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"70",16,"Bare","Condalia microphylla",NA,1,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"71",16,"Bare","Lycium chilense",NA,3,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"72",16,"Bare","Baccharis gilliesii",NA,NA,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"73",16,"Bare","Pappostipa speciosa",NA,1,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"74",16,"Bare","Ephedra triandra",NA,2,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"75",16,"Bare","Trichocline sinuata",NA,3,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"76",16,"Bare","Senna aphylla",NA,2,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"77",16,"Bare","Jarava plumosa",NA,NA,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"78",16,"Bare","Ephedra ochreata",NA,2,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"79",16,"Bare","Monttea aphylla",NA,2,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"80",16,"Bare","Poa lanuginosa",NA,1,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"81",16,"Bare","Acantholippia seriphioides",NA,2,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"82",16,"Bare","Chuquiraga rosulata",NA,2,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"83",16,"Bare","Boopis anthemoides",NA,NA,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"84",16,"Bare","Junellia seriphioides",NA,NA,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"85",16,"Bare","Geoffroea decorticans",NA,1,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"86",16,"Bare","Conyza lorentzii",NA,NA,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"87",16,"Bare","Spergula ramosa",NA,NA,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"88",16,"Bare","Prosopidastrum globosum",NA,NA,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"89",16,"Bare","Bredemeyera microphylla",NA,2,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"90",16,"Bare","Pappophorum vaginatum",NA,NA,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"91",16,"Bare","Hysterionica jasionoides",NA,NA,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"92",16,"Bare","Larrea divaricata",NA,1,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"93",16,"Condalia microphylla","Amelichloa ambigua",1,1,"1_1","Argentina","Rio Colorado",6,1,3,0.8212
"94",16,"Condalia microphylla","Sphaeralcea mendocina",1,3,"1_3","Argentina","Rio Colorado",6,1,3,0.8212
"95",16,"Condalia microphylla","Nassella longiglumis",1,1,"1_1","Argentina","Rio Colorado",6,1,3,0.8212
"96",16,"Condalia microphylla","Baccharis ulicina",1,3,"1_3","Argentina","Rio Colorado",6,1,3,0.8212
"97",16,"Condalia microphylla","Conyza lorentzii",1,NA,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"98",16,"Condalia microphylla","Nassella tenuis",1,1,"1_1","Argentina","Rio Colorado",6,1,3,0.8212
"99",16,"Condalia microphylla","Glandularia parodii",1,2,"1_2","Argentina","Rio Colorado",6,1,3,0.8212
"100",16,"Condalia microphylla","Pappostipa humilis",1,1,"1_1","Argentina","Rio Colorado",6,1,3,0.8212
"101",16,"Condalia microphylla","Lycium chilense",1,3,"1_3","Argentina","Rio Colorado",6,1,3,0.8212
"102",16,"Condalia microphylla","Schinus johnstonii",1,2,"1_2","Argentina","Rio Colorado",6,1,3,0.8212
"103",16,"Condalia microphylla","Ephedra triandra",1,2,"1_2","Argentina","Rio Colorado",6,1,3,0.8212
"104",16,"Condalia microphylla","Aloysia gratissima",1,NA,NA,"Argentina","Rio Colorado",6,1,3,0.8212
"105",16,"Condalia microphylla","Pappostipa speciosa",1,1,"1_1","Argentina","Rio Colorado",6,1,3,0.8212
