"","ID","replicate","D_bare_only","D_nurse_only","D_both"
"1","1","1",5.31608882447682,NA,5.60271730541597
"2","1","2",5.67029912566909,5.60271730541597,4.53664832060322
"3","1","3",6.58663046608979,5.30410865298053,NA
"4","1","4",5.49835333763174,4.53664832060322,NA
"5","1","5",4.85551157094799,NA,NA
"6","1","6",4.45854272874171,4.88181393780924,4.53664832060322
"7","1","7",4.45854272874171,5.68783881916918,NA
"8","1","8",5.40681767253485,4.53664832060322,NA
"9","1","9",NA,5.15480432676281,NA
"10","1","10",NA,5.60271730541597,NA
"11","1","11",5.2663803266933,5.60271730541597,4.53664832060322
"12","1","12",5.01309032357875,NA,4.85921731603124
"13","1","13",4.85921731603124,NA,NA
"14","1","14",NA,5.30410865298053,NA
"15","1","15",NA,5.60271730541597,5.7729603329224
"16","1","16",NA,5.7729603329224,NA
"17","1","17",5.56763791841578,NA,NA
"18","1","18",5.2663803266933,5.60271730541597,4.53664832060322
"19","1","19",NA,NA,4.85921731603124
"20","1","20",5.01309032357875,4.72052944009523,NA
"21","1","21",6.58663046608979,NA,NA
"22","1","22",NA,NA,5.56763791841578
"23","1","23",5.56763791841578,NA,NA
"24","1","24",NA,NA,NA
"25","1","25",4.53664832060322,6.09467388575288,NA
"26","2","1",5.56763791841578,NA,NA
"27","2","2",5.7729603329224,5.7729603329224,NA
"28","2","3",5.26405108142566,NA,4.53664832060322
"29","2","4",4.11288876894849,NA,5.29241552398047
"30","2","5",NA,NA,5.29241552398047
"31","2","6",5.56763791841578,4.53664832060322,NA
"32","2","7",NA,NA,5.15480432676281
"33","2","8",5.56763791841578,NA,4.53664832060322
"34","2","9",5.18411597199316,NA,NA
"35","2","10",5.39993852245647,NA,4.53664832060322
"36","2","11",5.56763791841578,NA,NA
"37","2","12",5.68368696532725,4.53664832060322,NA
"38","2","13",5.05627532318562,NA,5.56763791841578
"39","2","14",5.31608882447682,NA,5.56763791841578
"40","2","15",5.18308432834678,NA,4.53664832060322
"41","2","16",5.07817608407948,5.79973601223871,NA
"42","2","17",5.31608882447682,5.7729603329224,5.0521431195095
"43","2","18",5.29159968593712,NA,4.53664832060322
"44","2","19",5.31608882447682,NA,4.11288876894849
"45","2","20",4.91502213930071,5.0521431195095,NA
"46","2","21",4.94292455093544,4.53664832060322,5.56763791841578
"47","2","22",5.67029912566909,NA,4.11288876894849
"48","2","23",4.94292455093544,5.56763791841578,4.53664832060322
"49","2","24",5.67029912566909,NA,4.90441055958725
"50","2","25",5.21342761722351,5.06520054962439,5.33868544625482
"51","3","1",4.85921731603124,NA,5.7729603329224
"52","3","2",5.05627532318562,5.56763791841578,NA
"53","3","3",5.39993852245647,4.53664832060322,NA
"54","3","4",5.05627532318562,NA,NA
"55","3","5",5.21342761722351,NA,4.53664832060322
"56","3","6",5.31608882447682,NA,5.56763791841578
"57","3","7",5.28944398137433,NA,NA
"58","3","8",5.14930744669002,5.7729603329224,NA
"59","3","9",5.54037586829803,NA,4.53664832060322
"60","3","10",5.31608882447682,NA,4.53664832060322
"61","3","11",5.01309032357875,NA,4.85921731603124
"62","3","12",5.18411597199316,NA,NA
"63","3","13",5.7729603329224,4.90441055958725,5.0521431195095
"64","3","14",5.42070969443348,6.03068383872263,4.98783451835008
"65","3","15",4.94292455093544,NA,4.53664832060322
"66","3","16",5.67029912566909,NA,4.53664832060322
"67","3","17",4.53664832060322,4.69793281831723,5.55475948993602
"68","3","18",4.53664832060322,4.93016426953655,5.39993852245647
"69","3","19",5.63082557472312,NA,5.0521431195095
"70","3","20",6.03068383872263,5.92802263146932,4.69793281831723
"71","3","21",5.31608882447682,NA,NA
"72","3","22",5.57381233027705,4.69793281831723,5.67029912566909
"73","3","23",5.31608882447682,4.72052944009523,5.60271730541597
"74","3","24",5.21342761722351,5.88095514443143,5.15480432676281
"75","3","25",5.67029912566909,NA,5.60271730541597
"76","16","1",2.55183540039671,2.09521505422565,3.72495776664315
"77","16","2",3.12649779020248,2.94314495365483,NA
"78","16","3",3.5112819892452,3.84780227393265,3.40514223702698
"79","16","4",3.44235040285741,3.23704553825727,2.91592938176585
"80","16","5",2.70057766519569,3.13687639865933,3.1195951556731
"81","16","6",2.65629921344271,3.00466269482864,3.16387360742608
"82","16","7",2.68467075565565,3.43449665713787,2.55641490698611
"83","16","8",2.61825307802618,2.95202804310233,4.97892055502859
"84","16","9",3.83179565534212,2.86107334436469,2.85472915687027
"85","16","10",3.03155869482095,1.96483208353385,3.18979052045683
"86","16","11",3.09797637245043,3.666442839629,4.97892055502859
"87","16","12",3.05600307663851,NA,2.68467075565565
"88","16","13",2.18993245599536,2.3290001922514,3.72495776664315
"89","16","14",3.03155869482095,NA,3.83179565534212
"90","16","15",4.2451012721369,4.22484170096463,2.09521505422565
"91","16","16",3.46785409892226,3.12820600065749,2.55385667777024
"92","16","17",3.76537797771265,3.07396706067511,2.70853111996571
"93","16","18",3.5672887416867,3.23302767597941,2.43139319929944
"94","16","19",2.55183540039671,2.88064606990101,3.72495776664315
"95","16","20",2.26206223456707,2.70795774890148,3.68967445477831
"96","16","21",4.58162155682434,2.67638877436053,2.65629921344271
"97","16","22",2.18993245599536,1.82462191064147,3.72495776664315
"98","16","23",4.2451012721369,3.77069292023595,2.35484522254879
"99","16","24",2.55183540039671,NA,3.5112819892452
"100","16","25",2.81306399105408,3.76537797771265,3.07151388855179
"101","16","26",2.00827380970886,2.24633791825416,3.47216933594133
"102","16","27",2.80757732131018,NA,2.55286109210525
"103","16","28",NA,2.98303532650277,3.47216933594133
"104","16","29",4.15501476564339,3.37369513954964,2.3881880653106
"105","16","30",2.29624689360458,2.98303532650277,3.47216933594133
"106","16","31",3.35393792887432,2.35843150653245,NA
"107","16","32",2.00827380970886,2.0396326951039,3.01314932244796
"108","16","33",3.04017952843821,NA,2.2614772227661
"109","16","34",2.0396326951039,2.769186960587,NA
"110","16","35",2.82857706909897,2.86171380119684,2.74900266144165
"111","16","36",2.67562133420982,2.45321732073429,2.55123354345941
"112","16","37",2.38311941527654,3.38648812481223,2.0396326951039
"113","16","38",2.36699023636191,3.49756966145861,2.0396326951039
"114","16","39",2.00827380970886,2.74273486347995,1.87303288932904
"115","16","40",3.09732373037365,2.0396326951039,2.26488800820953
"116","16","41",2.61562551769429,1.88793312667636,2.89493026068748
"117","16","42",4.15501476564339,3.18665472985899,2.27961056848777
"118","16","43",2.67109249917226,2.78932390623928,2.82752660761333
"119","16","44",2.04397656331907,3.1841777340858,1.93100594634558
"120","16","45",2.98303532650277,NA,1.58147190852972
"121","16","46",NA,2.24633791825416,2.91583618428418
"122","16","47",2.14298530667903,2.87968271492764,2.89493026068748
"123","16","48",2.55286109210525,NA,3.09732373037365
"124","16","49",3.20067634194878,NA,NA
"125","16","50",2.24633791825416,2.28627442949428,3.93737375019738
"126","16","51",5.18304681180964,3.53258324591216,3.56391717282219
"127","16","52",2.92256422299952,2.77227712844582,4.47952666388147
"128","16","53",3.02313261247326,NA,5.18304681180964
"129","16","54",2.94030652335283,NA,NA
"130","16","55",NA,3.48598640910325,2.92256422299952
"131","16","56",3.57453472809232,3.52328430137417,2.92256422299952
"132","16","57",2.43621833863178,2.74791590386581,3.92451798072415
"133","16","58",2.42571352955427,NA,2.49213870292732
"134","16","59",3.0998203546509,4.1593641353324,3.08060733203536
"135","16","60",2.92256422299952,4.25824013177004,2.46895069975479
"136","16","61",3.52485391152132,3.54736563423007,3.71894146949266
"137","16","62",3.34913164377756,3.87240448530436,3.45741380881441
"138","16","63",3.1223248821552,3.1223248821552,3.15632098721184
"139","16","64",2.95804882370615,NA,3.52485391152132
"140","16","65",2.46895069975479,2.58883914125501,4.05280551740458
"141","16","66",1.96020434890189,2.33022177820182,4.04394387561453
"142","16","67",2.72347714717075,3.69115727265301,3.36273861673207
"143","16","68",NA,NA,3.6878866195051
"144","16","69",2.95804882370615,2.45258451919329,4.05280551740458
"145","16","70",2.6073655661327,1.73416935558572,3.28419892835283
"146","16","71",2.95804882370615,2.46895069975479,4.05280551740458
"147","16","72",3.42913040915171,2.90135866992108,3.76939596325391
"148","16","73",2.92256422299952,2.92256422299952,3.50521975783631
"149","16","74",2.69575746137715,2.55351046968512,5.18304681180964
"150","16","75",2.95804882370615,3.0471790912784,3.51394312448031
"151","17","1",2.75519814243309,3.6075890635566,NA
"152","17","2",3.27953889230349,NA,4.76170287480567
"153","17","3",3.59058569518472,2.51202520024922,3.29044967934449
"154","17","4",2.50539636780859,3.12203931463307,2.69575746137715
"155","17","5",3.48598640910325,4.70315292686398,2.75519814243309
"156","17","6",2.75519814243309,3.47058409544518,NA
"157","17","7",3.18660162669105,4.23989316775408,2.67939128081565
"158","17","8",2.67939128081565,3.57381277261594,4.92647173844878
"159","17","9",2.58783206186665,3.83437331922175,2.92256422299952
"160","17","10",3.1679615052592,NA,2.95804882370615
"161","17","11",3.56391717282219,3.45390474316413,3.49458672120018
"162","17","12",2.46895069975479,3.37188878436079,3.20833201867152
