"","Response","Model","Chisq","Df","Pr_value","AIC","Warnings"
"1","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+(1|site_ID)",0.168976739448017,3,0.982434923424782,131.135767020622,"warning : eval(family$initialize); warning : fitTMB(TMBStruc)"
"2","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ aridity+(1|site_ID)",0.00211982960223038,1,0.963277087229834,127.302542549951,"warning : eval(family$initialize); warning : fitTMB(TMBStruc)"
"3","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ FRic+(1|site_ID)",0.158218747582826,1,0.690801795131563,127.143445640584,"warning : eval(family$initialize); warning : fitTMB(TMBStruc)"
"4","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ FEve+(1|site_ID)",0.0418609087978356,1,0.837885135066707,127.262716402401,"warning : eval(family$initialize); warning : fitTMB(TMBStruc)"
"5","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ FDiv+(1|site_ID)",0.445126896874336,1,0.504658244187086,126.858927605871,"warning : eval(family$initialize); warning : fitTMB(TMBStruc)"
"6","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+aridity+(1|site_ID)",0.168905540590491,3,0.982445652584181,133.133725786592,"warning : eval(family$initialize); warning : fitTMB(TMBStruc)"
"7","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+FRic+(1|site_ID)",0.136552843454073,3,0.98711607357393,133.006810837912,"warning : eval(family$initialize); warning : fitTMB(TMBStruc)"
"8","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+FEve+(1|site_ID)",0.153223605798811,3,0.984761870313921,133.109654726194,"warning : eval(family$initialize); warning : fitTMB(TMBStruc)"
"9","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+FDiv+(1|site_ID)",0.145932287468735,3,0.985805762733645,132.712948259811,"warning : eval(family$initialize); warning : fitTMB(TMBStruc)"
"10","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ aridity+FRic+(1|site_ID)",0.000805759148169543,1,0.977354372238183,129.142640054907,"warning : eval(family$initialize); warning : fitTMB(TMBStruc)"
"11","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ aridity+FEve+(1|site_ID)",3.03406087062532e-06,1,0.998610201026287,129.262713340366,"warning : eval(family$initialize); warning : fitTMB(TMBStruc)"
"12","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ aridity+FDiv+(1|site_ID)",0.0124180031153915,1,0.911270539170103,128.846521039859,"warning : eval(family$initialize); warning : fitTMB(TMBStruc)"
"13","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ FRic+FEve+(1|site_ID)",0.162252339071736,1,0.687091252413179,129.097504311078,"warning : eval(family$initialize); warning : fitTMB(TMBStruc)"
"14","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ FRic+FDiv+(1|site_ID)",0.114107526602817,1,0.735515374994321,128.743001607687,"warning : eval(family$initialize); warning : fitTMB(TMBStruc)"
"15","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ FEve+FDiv+(1|site_ID)",0.0109085616179656,1,0.916816959226079,128.848009438827,"warning : eval(family$initialize); warning : fitTMB(TMBStruc)"
