"","ID","replicate","taxon","position"
"1","1","1","Stipa tenacissima","nurse_species"
"2","1","1",NA,"nurse_only"
"3","1","1","Iris sisyrynchium","bare_only"
"4","1","1","Allium cupani","bare_only"
"5","1","1","Scorzonera undulata","both"
"6","1","2","Stipa tenacissima","nurse_species"
"7","1","2","Scorzonera undulata","nurse_only"
"8","1","2","Plantago albicans","bare_only"
"9","1","2","Allium cupani","bare_only"
"10","1","2","Atractylis serratuloides","both"
"11","1","3","Stipa tenacissima","nurse_species"
"12","1","3","Atractylis serratuloides","nurse_only"
"13","1","3","Allium cupani","nurse_only"
"14","1","3","Scorzonera undulata","nurse_only"
"15","1","3","Echium trygorrhizum","bare_only"
"16","1","3",NA,"both"
"17","1","4","Stipa tenacissima","nurse_species"
"18","1","4","Atractylis serratuloides","nurse_only"
"19","1","4","Ajuga iva","bare_only"
"20","1","4","Plantago albicans","bare_only"
"21","1","4","Stipa barbata","bare_only"
"22","1","4","Allium cupani","bare_only"
"23","1","4",NA,"both"
"24","1","5","Stipa tenacissima","nurse_species"
"25","1","5",NA,"nurse_only"
"26","1","5","Atractylis serratuloides","bare_only"
"27","1","5","Plantago albicans","bare_only"
"28","1","5","Stipa barbata","bare_only"
"29","1","5","Iris sisyrynchium","bare_only"
"30","1","5",NA,"both"
"31","1","6","Stipa tenacissima","nurse_species"
"32","1","6","Iris sisyrynchium","nurse_only"
"33","1","6","Paronychia argentea","nurse_only"
"34","1","6","Stipa barbata","bare_only"
"35","1","6","Atractylis serratuloides","both"
"36","1","7","Stipa tenacissima","nurse_species"
"37","1","7","Scorzonera undulata","nurse_only"
"38","1","7","Allium cupani","nurse_only"
"39","1","7","Stipa barbata","bare_only"
"40","1","7",NA,"both"
"41","1","8","Stipa tenacissima","nurse_species"
"42","1","8","Atractylis serratuloides","nurse_only"
"43","1","8","Plantago albicans","bare_only"
"44","1","8","Ajuga iva","bare_only"
"45","1","8","Stipa barbata","bare_only"
"46","1","8",NA,"both"
"47","1","9","Stipa tenacissima","nurse_species"
"48","1","9","Allium cupani","nurse_only"
"49","1","9","Atractylis serratuloides","nurse_only"
"50","1","9",NA,"bare_only"
"51","1","9",NA,"both"
"52","1","10","Stipa tenacissima","nurse_species"
"53","1","10","Scorzonera undulata","nurse_only"
"54","1","10",NA,"bare_only"
"55","1","10",NA,"both"
"56","1","11","Stipa tenacissima","nurse_species"
"57","1","11","Scorzonera undulata","nurse_only"
"58","1","11","Stipa barbata","bare_only"
"59","1","11","Plantago albicans","bare_only"
"60","1","11","Allium cupani","bare_only"
"61","1","11","Atractylis serratuloides","both"
"62","1","12","Stipa tenacissima","nurse_species"
"63","1","12",NA,"nurse_only"
"64","1","12","Plantago albicans","bare_only"
"65","1","12","Stipa barbata","bare_only"
"66","1","12","Iris sisyrynchium","both"
"67","1","13","Stipa tenacissima","nurse_species"
"68","1","13",NA,"nurse_only"
"69","1","13","Iris sisyrynchium","bare_only"
"70","1","13",NA,"both"
"71","1","14","Stipa tenacissima","nurse_species"
"72","1","14","Atractylis serratuloides","nurse_only"
"73","1","14","Allium cupani","nurse_only"
"74","1","14","Scorzonera undulata","nurse_only"
"75","1","14",NA,"bare_only"
"76","1","14",NA,"both"
"77","1","15","Stipa tenacissima","nurse_species"
"78","1","15","Scorzonera undulata","nurse_only"
"79","1","15",NA,"bare_only"
"80","1","15","Allium cupani","both"
"81","1","16","Stipa tenacissima","nurse_species"
"82","1","16","Allium cupani","nurse_only"
"83","1","16",NA,"bare_only"
"84","1","16",NA,"both"
"85","1","17","Stipa tenacissima","nurse_species"
"86","1","17",NA,"nurse_only"
"87","1","17","Plantago albicans","bare_only"
"88","1","17",NA,"both"
"89","1","18","Stipa tenacissima","nurse_species"
"90","1","18","Scorzonera undulata","nurse_only"
"91","1","18","Allium cupani","bare_only"
"92","1","18","Stipa barbata","bare_only"
"93","1","18","Plantago albicans","bare_only"
"94","1","18","Atractylis serratuloides","both"
"95","1","19","Stipa tenacissima","nurse_species"
"96","1","19",NA,"nurse_only"
"97","1","19",NA,"bare_only"
"98","1","19","Iris sisyrynchium","both"
"99","1","20","Stipa tenacissima","nurse_species"
"100","1","20","Paronychia argentea","nurse_only"
"101","1","20","Atractylis serratuloides","nurse_only"
"102","1","20","Plantago albicans","bare_only"
"103","1","20","Stipa barbata","bare_only"
"104","1","20",NA,"both"
"105","1","21","Stipa tenacissima","nurse_species"
"106","1","21",NA,"nurse_only"
"107","1","21","Echium trygorrhizum","bare_only"
"108","1","21",NA,"both"
"109","1","22","Stipa tenacissima","nurse_species"
"110","1","22",NA,"nurse_only"
"111","1","22",NA,"bare_only"
"112","1","22","Plantago albicans","both"
"113","1","23","Stipa tenacissima","nurse_species"
"114","1","23",NA,"nurse_only"
"115","1","23","Plantago albicans","bare_only"
"116","1","23",NA,"both"
"117","1","24","Stipa tenacissima","nurse_species"
"118","1","24",NA,"nurse_only"
"119","1","24",NA,"bare_only"
"120","1","24",NA,"both"
"121","1","25","Stipa tenacissima","nurse_species"
"122","1","25","Echium trygorrhizum","nurse_only"
"123","1","25","Scorzonera undulata","nurse_only"
"124","1","25","Atractylis serratuloides","bare_only"
"125","1","25",NA,"both"
"126","2","1","Stipa tenacissima","nurse_species"
"127","2","1",NA,"nurse_only"
"128","2","1","Plantago albicans","bare_only"
"129","2","1","Artemisia campestris","both"
"130","2","2","Stipa tenacissima","nurse_species"
"131","2","2","Artemisia campestris","nurse_only"
"132","2","2","Allium cupani","nurse_only"
"133","2","2","Allium cupani","bare_only"
"134","2","2",NA,"both"
"135","2","3","Stipa tenacissima","nurse_species"
"136","2","3",NA,"nurse_only"
"137","2","3","Plantago albicans","bare_only"
"138","2","3","Scorzonera undulata","bare_only"
"139","2","3","Allium cupani","bare_only"
"140","2","3","Stipa parviflora","bare_only"
"141","2","3","Atractylis serratuloides","both"
"142","2","4","Stipa tenacissima","nurse_species"
"143","2","4",NA,"nurse_only"
"144","2","4","Stipa parviflora","bare_only"
"145","2","4","Allium cupani","both"
"146","2","4","Atractylis serratuloides","both"
"147","2","4","Plantago albicans","both"
"148","2","5","Stipa tenacissima","nurse_species"
"149","2","5",NA,"nurse_only"
"150","2","5",NA,"bare_only"
"151","2","5","Atractylis serratuloides","both"
"152","2","5","Plantago albicans","both"
"153","2","5","Allium cupani","both"
"154","2","6","Stipa tenacissima","nurse_species"
"155","2","6","Atractylis serratuloides","nurse_only"
"156","2","6","Plantago albicans","bare_only"
"157","2","6",NA,"both"
"158","2","7","Stipa tenacissima","nurse_species"
"159","2","7",NA,"nurse_only"
"160","2","7",NA,"bare_only"
"161","2","7","Allium cupani","both"
"162","2","7","Atractylis serratuloides","both"
"163","2","8","Stipa tenacissima","nurse_species"
"164","2","8",NA,"nurse_only"
"165","2","8","Plantago albicans","bare_only"
"166","2","8","Atractylis serratuloides","both"
"167","2","9","Stipa tenacissima","nurse_species"
"168","2","9",NA,"nurse_only"
"169","2","9","Atractylis serratuloides","bare_only"
"170","2","9","Allium cupani","bare_only"
"171","2","9","Plantago albicans","bare_only"
"172","2","9","Iris sisyrynchium","bare_only"
"173","2","9",NA,"both"
"174","2","10","Stipa tenacissima","nurse_species"
"175","2","10",NA,"nurse_only"
"176","2","10","Plantago albicans","bare_only"
"177","2","10","Allium cupani","bare_only"
"178","2","10","Iris sisyrynchium","bare_only"
"179","2","10","Atractylis serratuloides","both"
"180","2","11","Stipa tenacissima","nurse_species"
"181","2","11",NA,"nurse_only"
"182","2","11","Plantago albicans","bare_only"
"183","2","11","Artemisia campestris","both"
"184","2","12","Stipa tenacissima","nurse_species"
"185","2","12","Atractylis serratuloides","nurse_only"
"186","2","12","Matthiola longipetala","bare_only"
"187","2","12","Plantago albicans","bare_only"
"188","2","12",NA,"both"
"189","2","13","Stipa tenacissima","nurse_species"
"190","2","13","Artemisia campestris","nurse_only"
"191","2","13","Atractylis serratuloides","bare_only"
"192","2","13","Iris sisyrynchium","bare_only"
"193","2","13","Allium cupani","bare_only"
"194","2","13","Plantago albicans","both"
