ID,spname,position,,
1,1,Stipa tenacissima,match,
2,1,Atractylis serratuloides,match,
3,1,Allium cupani,match,
4,1,Ajuga iva,match,
5,1,Plantago albicans,match,
6,1,Echium trygorrhizum,match,
7,1,Stipa parviflora,match,
8,1,Scorzonera undulata,match,
9,1,Paronychia argentea,match,
10,1,Stipa barbata,match,
11,1,Iris sisyrinchium,fac_only,20
12,1,Argyrolobium uniflorum,FT_only,
13,1,Muscari comosum,FT_only,
14,1,Ziziphus lotus,FT_only,
15,1,Launaea resedifolia,FT_only,
16,1,Noaea mucronata,FT_only,
17,1,Salvia verbenaca,FT_only,
18,1,Cynodon dactylon,FT_only,
19,1,Iris sisyrynchium,FT_only,20
20,2,Ajuga iva,match,
21,2,Scorzonera undulata,match,
22,2,Stipa parviflora,match,
23,2,Plantago albicans,match,
24,2,Matthiola longipetala,match,
25,2,Allium cupani,match,
26,2,Paronychia argentea,match,
27,2,Stipa tenacissima,match,
28,2,Atractylis serratuloides,match,
29,2,Artemisia campestris,match,
30,2,Echium trygorrhizum,match,
31,2,Iris sisyrinchium,fac_only,21
32,2,Salvia verbenaca,fac_only,
33,2,Helanthemum aperta,fac_only,
34,2,Iris sisyrynchium,FT_only,21
35,2,Noaea mucronata,FT_only,
36,2,Argyrolobium uniflorum,FT_only,
37,2,Scorzonera laciniata,FT_only,
38,2,Echinops spinosus,FT_only,
39,2,Dactylis glomerata,FT_only,
40,2,Stipa barbata,FT_only,
41,2,Telephium imperati,FT_only,
42,2,Ziziphus lotus,FT_only,
43,3,Scorzonera undulata,match,
44,3,Plantago albicans,match,
45,3,Ajuga iva,match,
46,3,Atractylis serratuloides,match,
47,3,Stipa parviflora,match,
48,3,Telephium imperati,match,
49,3,Stipa tenacissima,match,
50,3,Allium cupani,match,
51,3,Stipa barbata,match,
52,3,Salvia verbenaca,match,
53,3,Paronychia argentea,match,
54,3,Iris sisyrinchium,fac_only,22
55,3,Noea mucronata,fac_only,23
56,3,Echium trygorrhizum,FT_only,
57,3,Argyrolobium uniflorum,FT_only,
58,3,Matthiola longipetala,FT_only,
59,3,Noaea mucronata,FT_only,23
60,3,Iris sisyrynchium,FT_only,22
61,3,Dactylis glomerata,FT_only,
62,3,Launaea resedifolia,FT_only,
63,16,Condalia microphylla,match,
64,16,Lycium chilense,match,
65,16,Pappostipa humilis,match,
66,16,Larrea cuneifolia,match,
67,16,Larrea divaricata,match,
68,16,Ephedra triandra,match,
69,16,Conyza lorentzii,match,
70,16,Nassella tenuis,match,
71,16,Schinus johnstonii,match,
72,16,Prosopidastrum globosum,match,
73,16,Bredemeyera microphylla,match,
74,16,Poa ligularis,match,
75,16,Monttea aphylla,match,
76,16,Senna aphylla,match,
77,16,Poa lanuginosa,match,
78,16,Chuquiraga rosulata,match,
79,16,Amelichloa ambigua,match,
80,16,Glandularia parodii,match,
81,16,Sphaeralcea mendocina,match,
82,16,Nassella longiglumis,match,
83,16,Baccharis ulicina,match,
84,16,Geoffroea decorticans,match,
85,16,Pappostipa speciosa,match,
86,16,Prosopis flexuosa var. depressa,fac_only,24
87,16,Aloysia gratissima ,fac_only,25
88,16,Oxalis lasiopetala,fac_only,
89,16,Senecio melanopotamicus,fac_only,
90,16,Baccharis gilliesii,fac_only,
91,16,Boopis anthemoides,fac_only,
92,16,Trichocline sinuata,fac_only,
93,16,Junellia seriphioides,fac_only,
94,16,Baccharis melanopotamica,fac_only,
95,16,Brachyclados lycioides,fac_only,
96,16,Pappophorum vaginatum,fac_only,
97,16,Spergula ramosa,fac_only,
98,16,Acantholippia seriphioides,fac_only,
99,16,Hysterionica jasionoides,fac_only,
100,16,Jarava plumosa,fac_only,
101,16,Ephedra ochreata,fac_only,
102,16,Grindelia brachystephana,FT_only,
103,16,Prosopis flexuosa,FT_only,24
104,16,Aloysia gratissima,FT_only,25
105,16,Baccharis crispa,FT_only,
106,17,Sphaeralcea mendocina,match,
107,17,Brachyclados lycioides,match,
108,17,Trichocline sinuata,match,
109,17,Ephedra ochreata,match,
110,17,Pappostipa humilis,match,
111,17,Junellia seriphioides,match,
112,17,Prosopidastrum globosum,match,
113,17,Conyza lorentzii,match,
114,17,Chuquiraga rosulata,match,
115,17,Senna aphylla,match,
116,17,Nassella longiglumis,match,
117,17,Condalia microphylla,match,
118,17,Baccharis ulicina,match,
119,17,Pappostipa speciosa,match,
120,17,Monttea aphylla,match,
121,17,Baccharis gilliesii,match,
122,17,Larrea divaricata,match,
123,17,Acantholippia seriphioides,match,
124,17,Lycium chilense,match,
125,17,Nassella tenuis,match,
126,17,Glandularia parodii,match,
127,17,Cardionema ramosissima,match,
128,17,Bredemeyera microphylla,match,
129,17,Poa lanuginosa,fac_only,
130,17,Euphorbia collina,fac_only,
131,17,Prosopis flexuosa var. depressa,fac_only,26
132,17,Baccharis melanopotamica,fac_only,
133,17,Amelichloa ambigua,fac_only,
134,17,Aristida mendocina,fac_only,
135,17,Senecio melanopotamicus,fac_only,
136,17,Hysterionica jasionoides,fac_only,
137,17,Nassella chilensis,fac_only,
138,17,Boopis anthemoides,fac_only,
139,17,Ephedra triandra,fac_only,
